model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.0011665	0.0011336	0.0011994
BUGGE	2	0.0012607	0.0012286	0.0012928
BUGGE	3	0.0013408	0.0013103	0.0013713
BUGGE	4	0.0014689	0.0014384	0.0014994
BUGGE	5	0.0015561	0.0015197	0.0015924
BUGGE	6	0.0016190	0.0015860	0.0016521
BUGGE	7	0.0016773	0.0016290	0.0017256
BUGGE	8	0.0017285	0.0016926	0.0017644
BUGGE	9	0.0017587	0.0017165	0.0018009
BUGGE	10	0.0018040	0.0017650	0.0018429
BUGGE	11	0.0018534	0.0018122	0.0018945
BUGGE	12	0.0018990	0.0018499	0.0019482
BUGGE	13	0.0018952	0.0018520	0.0019383
BUGGE	14	0.0019176	0.0018770	0.0019583
BUGGE	15	0.0020025	0.0019536	0.0020514
BUGGE	16	0.0019812	0.0019372	0.0020252
BUGGE	17	0.0019926	0.0019411	0.0020441
BUGGE	18	0.0020044	0.0019533	0.0020555
BUGGE	19	0.0019976	0.0019578	0.0020374
BUGGE	20	0.0020030	0.0019582	0.0020478
