model	gen	abs_mean	abs95d	abs95u
CNRG	0	0.0000000	nan	nan
CNRG	1	0.0001054	0.0000910	0.0001198
CNRG	2	0.0001401	0.0001197	0.0001606
CNRG	3	0.0001828	0.0001544	0.0002112
CNRG	4	0.0002164	0.0001811	0.0002516
CNRG	5	0.0002228	0.0001818	0.0002637
CNRG	6	0.0002246	0.0001815	0.0002677
CNRG	7	0.0002488	0.0002031	0.0002945
CNRG	8	0.0002783	0.0002304	0.0003262
CNRG	9	0.0003100	0.0002605	0.0003595
CNRG	10	0.0003104	0.0002539	0.0003670
CNRG	11	0.0003336	0.0002758	0.0003914
CNRG	12	0.0003365	0.0002708	0.0004022
CNRG	13	0.0003478	0.0002814	0.0004143
CNRG	14	0.0003494	0.0002812	0.0004176
CNRG	15	0.0003399	0.0002734	0.0004065
CNRG	16	0.0003565	0.0002874	0.0004256
CNRG	17	0.0003784	0.0003091	0.0004478
CNRG	18	0.0003864	0.0003195	0.0004534
CNRG	19	0.0004001	0.0003289	0.0004714
CNRG	20	0.0004118	0.0003363	0.0004873
