model	gen	abs_mean	abs95d	abs95u
Chung-Lu	1	0.0135986	-0.0066265	0.0338236
Chung-Lu	2	0.0030610	0.0023066	0.0038154
Chung-Lu	3	0.0031942	0.0024853	0.0039030
Chung-Lu	4	0.0028407	0.0023219	0.0033596
Chung-Lu	5	0.0033877	0.0025770	0.0041983
Chung-Lu	6	0.0036144	0.0029476	0.0042812
Chung-Lu	7	0.0036817	0.0029661	0.0043973
Chung-Lu	8	0.0030614	0.0024119	0.0037109
Chung-Lu	9	0.0029054	0.0023516	0.0034591
Chung-Lu	10	0.0035208	0.0026756	0.0043659
Chung-Lu	11	0.0030179	0.0023912	0.0036446
Chung-Lu	12	0.0030516	0.0023835	0.0037197
Chung-Lu	13	0.0025440	0.0018943	0.0031937
Chung-Lu	14	0.0038758	0.0030382	0.0047133
Chung-Lu	15	0.0036473	0.0029389	0.0043558
Chung-Lu	16	0.0033118	0.0026873	0.0039362
Chung-Lu	17	0.0036746	0.0029183	0.0044308
Chung-Lu	18	0.0138003	-0.0063297	0.0339303
Chung-Lu	19	0.0037825	0.0030440	0.0045211
Chung-Lu	20	0.0036348	0.0028428	0.0044268
