model	gen	abs_mean	abs95d	abs95u
GCN_AE	1	0.4550830	0.4495516	0.4606145
GCN_AE	2	0.1746387	0.1444207	0.2048566
GCN_AE	3	0.1318522	0.1178044	0.1458999
GCN_AE	4	0.1229826	0.1124921	0.1334731
GCN_AE	5	0.1208413	0.1102548	0.1314278
GCN_AE	6	0.1208494	0.1102656	0.1314332
GCN_AE	7	0.1208780	0.1103035	0.1314525
GCN_AE	8	0.1208780	0.1103035	0.1314525
GCN_AE	9	0.1208821	0.1103089	0.1314553
GCN_AE	10	0.1208821	0.1103089	0.1314553
GCN_AE	11	0.1208821	0.1103089	0.1314553
GCN_AE	12	0.1208821	0.1103089	0.1314553
GCN_AE	13	0.1208821	0.1103089	0.1314553
GCN_AE	14	0.1208821	0.1103089	0.1314553
GCN_AE	15	0.1206625	0.1103794	0.1309456
GCN_AE	16	0.1207997	0.1103370	0.1312624
GCN_AE	17	0.1208254	0.1103285	0.1313223
GCN_AE	18	0.1208565	0.1103179	0.1313951
GCN_AE	19	0.1208565	0.1103179	0.1313951
GCN_AE	20	0.1203857	0.1105724	0.1301991
