model	gen	abs_mean	abs95d	abs95u
SBM	0	0.0000000	nan	nan
SBM	1	0.0036929	0.0036418	0.0037439
SBM	2	0.0034528	0.0032542	0.0036515
SBM	3	0.0041563	0.0035198	0.0047928
SBM	4	0.0050511	0.0042353	0.0058669
SBM	5	0.0049803	0.0040703	0.0058902
SBM	6	0.0050381	0.0041233	0.0059529
SBM	7	0.0053259	0.0045448	0.0061069
SBM	8	0.0123907	-0.0014815	0.0262630
SBM	9	0.0060069	0.0049882	0.0070256
SBM	10	0.0057214	0.0047938	0.0066490
SBM	11	0.0059627	0.0048805	0.0070450
SBM	12	0.0062159	0.0050880	0.0073437
SBM	13	0.0075501	0.0064870	0.0086131
SBM	14	0.0072405	0.0061973	0.0082837
SBM	15	0.0075314	0.0062629	0.0087999
SBM	16	0.0212214	0.0019287	0.0405141
SBM	17	0.0076389	0.0064246	0.0088533
SBM	18	0.0076693	0.0063408	0.0089979
SBM	19	0.0059449	0.0049670	0.0069229
SBM	20	0.0071329	0.0058627	0.0084032
