model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Erdos-Renyi	1	0.9053571428571427	0.9038192026266664	0.9068950830876191	0.9053571428571427	0.9038192026266664	0.9068950830876191
Erdos-Renyi	2	0.905142857142857	0.9036061477570999	0.9066795665286141	0.9984999999999999	0.9979939576771527	0.9990060423228472
Erdos-Renyi	3	0.9040714285714284	0.9025784378923776	0.9055644192504793	0.9987857142857142	0.99830002376778	0.9992714048036483
Erdos-Renyi	4	0.9042857142857141	0.9027788467578879	0.9057925818135404	0.9980714285714285	0.9975604249306997	0.9985824322121573
Erdos-Renyi	5	0.9068571428571428	0.9053807202358855	0.9083335654784002	0.9984285714285712	0.9979196291259778	0.9989375137311647
Erdos-Renyi	6	0.905142857142857	0.9036061477570999	0.9066795665286141	0.998142857142857	0.997630620680938	0.998655093604776
Erdos-Renyi	7	0.9044999999999999	0.9029818730314583	0.9060181269685414	0.9983571428571429	0.9978461392164142	0.9988681464978717
Erdos-Renyi	8	0.9057857142857142	0.9042527033635281	0.9073187252079002	0.9984285714285712	0.9979196291259778	0.9989375137311647
Erdos-Renyi	9	0.9042857142857141	0.9027788467578879	0.9057925818135404	0.9982142857142857	0.9977016389707936	0.9987269324577779
Erdos-Renyi	10	0.9049285714285713	0.9033955605063853	0.9064615823507574	0.997642857142857	0.9971571666249229	0.9981285476607912
Erdos-Renyi	11	0.9066428571428571	0.9051498664638062	0.9081358478219079	0.9978571428571427	0.9973548536812006	0.9983594320330847
Erdos-Renyi	12	0.9047142857142856	0.9031874588065054	0.9062411126220657	0.9980714285714285	0.9975604249306997	0.9985824322121573
Erdos-Renyi	13	0.9047142857142856	0.9031874588065054	0.9062411126220657	0.9982857142857141	0.9977734778237951	0.9987979507476331
Erdos-Renyi	14	0.905142857142857	0.9036061477570999	0.9066795665286141	0.998142857142857	0.997630620680938	0.998655093604776
Erdos-Renyi	15	0.9055714285714285	0.9040347191856714	0.9071081379571856	0.998142857142857	0.997630620680938	0.998655093604776
Erdos-Renyi	16	0.9059999999999999	0.9044731730922198	0.9075268269077801	0.9984285714285714	0.997919629125978	0.9989375137311649
Erdos-Renyi	17	0.9044999999999999	0.9029818730314583	0.9060181269685414	0.9982142857142857	0.9977016389707936	0.9987269324577779
Erdos-Renyi	18	0.905142857142857	0.9036061477570999	0.9066795665286141	0.9982142857142855	0.9977016389707933	0.9987269324577777
Erdos-Renyi	19	0.9062142857142856	0.904696158745744	0.9077324126828272	0.9982142857142855	0.9977016389707933	0.9987269324577777
Erdos-Renyi	20	0.9057857142857142	0.9042527033635281	0.9073187252079002	0.9984285714285714	0.997919629125978	0.9989375137311649
