model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
CNRG	1	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	2	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	3	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	4	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	5	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	6	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	7	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	8	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	9	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	10	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	11	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	12	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	13	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	14	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	15	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	16	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	17	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	18	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	19	1.0	1.0	1.0	1.0	1.0	1.0
CNRG	20	1.0	1.0	1.0	1.0	1.0	1.0
