model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.9945929	0.9941053	0.9950805
BUGGE	2	0.9955660	0.9950913	0.9960408
BUGGE	3	0.9959459	0.9955051	0.9963867
BUGGE	4	0.9959689	0.9956161	0.9963217
BUGGE	5	0.9961282	0.9957940	0.9964623
BUGGE	6	0.9961193	0.9957632	0.9964754
BUGGE	7	0.9960144	0.9956464	0.9963824
BUGGE	8	0.9961706	0.9957813	0.9965599
BUGGE	9	0.9958583	0.9954416	0.9962750
BUGGE	10	0.9957809	0.9953929	0.9961690
BUGGE	11	0.9962607	0.9958792	0.9966422
BUGGE	12	0.9962588	0.9958824	0.9966352
BUGGE	13	0.9960617	0.9956746	0.9964488
BUGGE	14	0.9961873	0.9957518	0.9966228
BUGGE	15	0.9959118	0.9955104	0.9963132
BUGGE	16	0.9959666	0.9956358	0.9962974
BUGGE	17	0.9958096	0.9953251	0.9962942
BUGGE	18	0.9960757	0.9957232	0.9964282
BUGGE	19	0.9962275	0.9958537	0.9966012
BUGGE	20	0.9960219	0.9956250	0.9964189
