model	gen	abs_mean	abs95d	abs95u
BTER	1	0.4073047	0.4035427	0.4110667
BTER	2	0.4374823	0.4331678	0.4417968
BTER	3	0.4715428	0.4670555	0.4760301
BTER	4	0.4973607	0.4927507	0.5019707
BTER	5	0.5119674	0.5064941	0.5174408
BTER	6	0.5134470	0.5089209	0.5179731
BTER	7	0.5175197	0.5130748	0.5219645
BTER	8	0.5313366	0.5279279	0.5347453
BTER	9	0.5456308	0.5413136	0.5499479
BTER	10	0.5493847	0.5441045	0.5546649
BTER	11	0.5520845	0.5479721	0.5561970
BTER	12	0.5582668	0.5537862	0.5627474
BTER	13	0.5723268	0.5688128	0.5758408
BTER	14	0.5766360	0.5721699	0.5811022
BTER	15	0.5733610	0.5692103	0.5775117
BTER	16	0.5772704	0.5737953	0.5807455
BTER	17	0.5862476	0.5825403	0.5899548
BTER	18	0.5918228	0.5872327	0.5964129
BTER	19	0.5932811	0.5881371	0.5984252
BTER	20	0.5966862	0.5925582	0.6008142
