model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	1	0.7197345	0.7168324	0.7226366
Erdos-Renyi	2	0.7204709	0.7156407	0.7253011
Erdos-Renyi	3	0.7188446	0.7133323	0.7243569
Erdos-Renyi	4	0.7203730	0.7138841	0.7268618
Erdos-Renyi	5	0.7190185	0.7126757	0.7253612
Erdos-Renyi	6	0.7181449	0.7102204	0.7260694
Erdos-Renyi	7	0.7201796	0.7121371	0.7282220
Erdos-Renyi	8	0.7205501	0.7110128	0.7300873
Erdos-Renyi	9	0.7210147	0.7119339	0.7300954
Erdos-Renyi	10	0.7199519	0.7101583	0.7297456
Erdos-Renyi	11	0.7185328	0.7085782	0.7284875
Erdos-Renyi	12	0.7182437	0.7073361	0.7291514
Erdos-Renyi	13	0.7161879	0.7059192	0.7264566
Erdos-Renyi	14	0.7194538	0.7086140	0.7302937
Erdos-Renyi	15	0.7144065	0.7034624	0.7253506
Erdos-Renyi	16	0.7186224	0.7066219	0.7306229
Erdos-Renyi	17	0.7199494	0.7076552	0.7322437
Erdos-Renyi	18	0.7183164	0.7051566	0.7314762
Erdos-Renyi	19	0.7181714	0.7052234	0.7311194
Erdos-Renyi	20	0.7197516	0.7074464	0.7320568
