model	gen	abs_mean	abs95d	abs95u
SBM	1	0.9180643	0.9160838	0.9200449
SBM	2	0.9133122	0.9103700	0.9162545
SBM	3	0.9128335	0.9091844	0.9164825
SBM	4	0.9115748	0.9080195	0.9151300
SBM	5	0.9104851	0.9068824	0.9140878
SBM	6	0.9094044	0.9062040	0.9126049
SBM	7	0.9091339	0.9055512	0.9127167
SBM	8	0.9086105	0.9050746	0.9121464
SBM	9	0.9090707	0.9056858	0.9124557
SBM	10	0.9060919	0.9032203	0.9089634
SBM	11	0.9057999	0.9029312	0.9086685
SBM	12	0.9075520	0.9046840	0.9104200
SBM	13	0.9063056	0.9032917	0.9093194
SBM	14	0.9065780	0.9036032	0.9095528
SBM	15	0.9056795	0.9027032	0.9086559
SBM	16	0.9055714	0.9023669	0.9087759
SBM	17	0.9048264	0.9016455	0.9080074
SBM	18	0.9050428	0.9017724	0.9083132
SBM	19	0.9042659	0.9012554	0.9072764
SBM	20	0.9047809	0.9016941	0.9078678
