dataset	model	gen	degree_js	ci_lower	ci_upper
chess	BTER	1	0.05425273323226912	0.05194789484221341	0.056557571622324866
chess	BTER	2	0.051598368254519536	0.04956375527435967	0.053632981234679376
chess	BTER	3	0.053344199761047484	0.05158250116157178	0.055105898360523146
chess	BTER	4	0.053318266174075986	0.05191417677890362	0.05472235556924832
chess	BTER	5	0.05384500744651674	0.051984486997570294	0.05570552789546319
chess	BTER	6	0.05563352434887431	0.05423343708534766	0.05703361161240094
chess	BTER	7	0.05778621593018173	0.0566726902020003	0.0588997416583632
chess	BTER	8	0.05927617063751075	0.05838983854290814	0.060162502732113356
chess	BTER	9	0.0632999711078876	0.061972428214135705	0.06462751400163946
chess	BTER	10	0.061332747867639946	0.060352662447246845	0.06231283328803302
chess	BTER	11	0.06484481669149554	0.06363406786839189	0.06605556551459917
chess	BTER	12	0.06738949205555024	0.06630998222136378	0.06846900188973665
chess	BTER	13	0.06919481137286633	0.06807673137126757	0.07031289137446506
chess	BTER	14	0.0714062191896385	0.07043137205552694	0.07238106632375008
chess	BTER	15	0.07178083065318913	0.07064220426045	0.07291945704592827
chess	BTER	16	0.07485817526720245	0.07344824254844023	0.07626810798596467
chess	BTER	17	0.07953564276162298	0.07283324510716797	0.08623804041607798
chess	BTER	18	0.08127307512305745	0.07464363135448537	0.08790251889162953
chess	BTER	19	0.08315699774907256	0.07655988608058681	0.08975410941755835
chess	BTER	20	0.09250899444101662	0.08361368263547088	0.10140430624656237
chess	BUGGE	1	0.2308377852946369	0.22362920566472053	0.23804636492455336
chess	BUGGE	2	0.23684782551588854	0.22788481778978642	0.24581083324199066
chess	BUGGE	3	0.21504105393855893	0.20690044948659642	0.22318165839052145
chess	BUGGE	4	0.20631238365780938	0.1968927312883411	0.21573203602727767
chess	BUGGE	5	0.18805130737304684	0.18060066365097877	0.19550195109511498
chess	BUGGE	6	0.17667037862318133	0.16852160094986474	0.18481915629649792
chess	BUGGE	7	0.18121593160444985	0.17102963074759298	0.19140223246130667
chess	BUGGE	8	0.17308685412534777	0.16455474858425265	0.1816189596664429
chess	BUGGE	9	0.16385734610200264	0.15503879049186983	0.17267590171213545
chess	BUGGE	10	0.1678236157780443	0.15950425155166106	0.17614298000442755
chess	BUGGE	11	0.17190914770288784	0.1613606293825774	0.18245766602319824
chess	BUGGE	12	0.17141810288163353	0.16279120472887776	0.1800450010343893
chess	BUGGE	13	0.16909891125125107	0.1568540278471429	0.18134379465535924
chess	BUGGE	14	0.1695881355807208	0.16023760328607545	0.17893866787536616
chess	BUGGE	15	0.17136402715971358	0.16314707730805633	0.17958097701137077
chess	BUGGE	16	0.1784177703785595	0.1705914833025237	0.1862440574545953
chess	BUGGE	17	0.17314864650409156	0.16440461567467796	0.18189267733350523
chess	BUGGE	18	0.17719013656287225	0.16774267731807138	0.1866375958076731
chess	BUGGE	19	0.17679458046102747	0.16596242023202012	0.18762674069003477
chess	BUGGE	20	0.1832830215561563	0.17310559289416894	0.1934604502181438
chess	CNRG	1	0.05239030419342137	0.05018817897204425	0.054592429414798485
chess	CNRG	2	0.05433260401115974	0.05241700064183234	0.056248207380487136
chess	CNRG	3	0.05931611841969067	0.057292868257907685	0.061339368581473645
chess	CNRG	4	0.06541003812365867	0.06327902704422766	0.06754104920308968
chess	CNRG	5	0.06882195859201032	0.06669310555572505	0.07095081162829558
chess	CNRG	6	0.07076940550684387	0.06888999675896484	0.07264881425472292
chess	CNRG	7	0.07570211373225016	0.07385158658282931	0.07755264088167102
chess	CNRG	8	0.07868756355656163	0.07642778843260632	0.08094733868051691
chess	CNRG	9	0.08309900831556438	0.08062430651614991	0.08557371011497886
chess	CNRG	10	0.08794909489825045	0.08506883174063345	0.09082935805586756
chess	CNRG	11	0.09453356674160567	0.09147981091886717	0.09758732256434419
chess	CNRG	12	0.09987564254872888	0.09598782496372346	0.10376346013373433
chess	CNRG	13	0.10727541616326842	0.10346857778640989	0.11108225454012696
chess	CNRG	14	0.1198635660802936	0.1103619524902738	0.1293651796703133
chess	CNRG	15	0.12747038796834637	0.11822893764156753	0.13671183829512515
chess	CNRG	16	0.13116762730101217	0.12156332521623603	0.14077192938578836
chess	CNRG	17	0.14341136703587623	0.1320823915859608	0.15474034248579177
chess	CNRG	18	0.14947903376079963	0.13712169972127447	0.1618363678003248
chess	CNRG	19	0.15850399690105788	0.14523822864101843	0.17176976516109738
chess	CNRG	20	0.1846581300140226	0.16685171370898447	0.20246454631906066
chess	Chung-Lu	1	0.05367241867888348	0.051483727337910436	0.05586111001985652
chess	Chung-Lu	2	0.05634219819526615	0.054042097105875035	0.05864229928465723
chess	Chung-Lu	3	0.05611464343203606	0.054152468725088936	0.05807681813898318
chess	Chung-Lu	4	0.06078081542378401	0.052706746137609076	0.06885488470995894
chess	Chung-Lu	5	0.058768844220879794	0.05078656309375697	0.06675112534800262
chess	Chung-Lu	6	0.060738162609710045	0.05278829807405636	0.06868802714536382
chess	Chung-Lu	7	0.06365063209424787	0.05268236651597993	0.0746188976725158
chess	Chung-Lu	8	0.06602647536695866	0.0551047788902359	0.07694817184368138
chess	Chung-Lu	9	0.0642550054509422	0.0532387697153671	0.07527124118651733
chess	Chung-Lu	10	0.06126293424745042	0.05018902726624373	0.07233684122865708
chess	Chung-Lu	11	0.06233427938051717	0.05119521273137446	0.07347334602965985
chess	Chung-Lu	12	0.06267131606139109	0.05163471935998772	0.07370791276279448
chess	Chung-Lu	13	0.06351790455138938	0.05258782028646274	0.07444798881631601
chess	Chung-Lu	14	0.06512575083380641	0.05430300733512822	0.0759484943324846
chess	Chung-Lu	15	0.06537743256965169	0.05446866560159207	0.07628619953771128
chess	Chung-Lu	16	0.07035376887572099	0.05726301249812844	0.08344452525331354
chess	Chung-Lu	17	0.07163533405513188	0.05859908300013453	0.0846715851101292
chess	Chung-Lu	18	0.07313239041196679	0.06021188516925275	0.08605289565468083
chess	Chung-Lu	19	0.07352796889290318	0.06054652440549915	0.08650941338030721
chess	Chung-Lu	20	0.08186848775160355	0.06736297781446389	0.09637399768874323
chess	Erdos-Renyi	1	0.40115826576656777	0.38673415148635704	0.4155823800467784
chess	Erdos-Renyi	2	0.39753592029078055	0.38145632021136544	0.4136155203701959
chess	Erdos-Renyi	3	0.4199834047762512	0.41003712328085373	0.4299296862716485
chess	Erdos-Renyi	4	0.4098295755012029	0.39677226466243853	0.42288688633996685
chess	Erdos-Renyi	5	0.40923219820151346	0.395784106615614	0.42268028978741284
chess	Erdos-Renyi	6	0.40993396129309384	0.3961506246773509	0.4237172979088368
chess	Erdos-Renyi	7	0.40551785626463094	0.3924906651774145	0.41854504735184705
