dataset	model	gen	portrait_js	ci_lower	ci_upper
chess	BTER	1	0.42237741955728714	0.42084009624242474	0.42391474287214964
chess	BTER	2	0.4083000594063822	0.4056130179088212	0.41098710090394297
chess	BTER	3	0.394446659796531	0.39183902019252137	0.3970542994005406
chess	BTER	4	0.384832588783428	0.38138654591109195	0.3882786316557641
chess	BTER	5	0.3737428976239728	0.3700754196710483	0.37741037557689716
chess	BTER	6	0.3676967990960521	0.363777144420531	0.37161645377157315
chess	BTER	7	0.35702473739288376	0.35170305164417964	0.3623464231415881
chess	BTER	8	0.3516358982750046	0.3457503725737397	0.35752142397627
chess	BTER	9	0.3461119814083883	0.3395544157062819	0.3526695471104944
chess	BTER	10	0.3320891557171665	0.3247510884733884	0.3394272229609444
chess	BTER	11	0.3279879720317012	0.3201366535569054	0.3358392905064969
chess	BTER	12	0.3211257433244111	0.31228622578126386	0.3299652608675582
chess	BTER	13	0.3157797981508769	0.30727822741454863	0.32428136888720543
chess	BTER	14	0.3141634447246202	0.3053083255665633	0.32301856388267713
chess	BTER	15	0.30891103071335035	0.3002174855814105	0.3176045758452902
chess	BTER	16	0.30623199004180673	0.2982652832659819	0.3141986968176316
chess	BTER	17	0.30250629963079667	0.294379793885603	0.31063280537599025
chess	BTER	18	0.30059347193119385	0.29257460526879203	0.30861233859359555
chess	BTER	19	0.2985336951121792	0.29144292545190836	0.3056244647724499
chess	BTER	20	0.29768965607755016	0.29041511504415707	0.30496419711094314
chess	BUGGE	1	0.9598913473052378	0.9590254774187513	0.9607572171917239
chess	BUGGE	2	0.9673183810152731	0.965872300595938	0.9687644614346087
chess	BUGGE	3	0.9641429291852529	0.9628970729172133	0.9653887854532925
chess	BUGGE	4	0.9619441146113846	0.9606662102767873	0.9632220189459819
chess	BUGGE	5	0.9592589249882454	0.9578577540203751	0.9606600959561163
chess	BUGGE	6	0.9566079355253626	0.9552676958683438	0.9579481751823814
chess	BUGGE	7	0.9573513544128284	0.9559699453551216	0.9587327634705352
chess	BUGGE	8	0.9573872520900731	0.9562669984370319	0.9585075057431144
chess	BUGGE	9	0.955918445432344	0.9545449976736703	0.957291893191018
chess	BUGGE	10	0.9544028879632671	0.9532645358684926	0.9555412400580414
chess	BUGGE	11	0.9548240187080225	0.9532779797163449	0.9563700576997007
chess	BUGGE	12	0.9557765603104674	0.954372654657416	0.957180465963519
chess	BUGGE	13	0.9549839844191973	0.9537369053188417	0.9562310635195529
chess	BUGGE	14	0.9563640540697845	0.9549653969462983	0.9577627111932709
chess	BUGGE	15	0.9550731658059154	0.9536061998410859	0.9565401317707443
chess	BUGGE	16	0.955592672350389	0.9542605795299712	0.9569247651708068
chess	BUGGE	17	0.9554333445823027	0.953858150328314	0.9570085388362907
chess	BUGGE	18	0.9567849501978674	0.9555439253684885	0.9580259750272462
chess	BUGGE	19	0.956013945473224	0.9546991870883543	0.9573287038580933
chess	BUGGE	20	0.9558136310627914	0.9544565709504595	0.9571706911751232
chess	CNRG	1	0.3825660669347228	0.37945281782891416	0.3856793160405314
chess	CNRG	2	0.429870408605939	0.4269659196021568	0.4327748976097211
chess	CNRG	3	0.4558522163387495	0.453211643160517	0.458492789516982
chess	CNRG	4	0.46771488132007555	0.4652993981252893	0.47013036451486145
chess	CNRG	5	0.47776885364307475	0.47499456882830027	0.4805431384578489
chess	CNRG	6	0.4857654865889699	0.4821537423879196	0.4893772307900199
chess	CNRG	7	0.49388272841479564	0.48963307709525833	0.49813237973433294
chess	CNRG	8	0.5045843360634418	0.4993858044980585	0.5097828676288253
chess	CNRG	9	0.5206406428301303	0.5136805149055937	0.5276007707546669
chess	CNRG	10	0.544217936926502	0.5352964241791692	0.553139449673835
chess	CNRG	11	0.5695055310140681	0.558252804251294	0.5807582577768418
chess	CNRG	12	0.5966526027260872	0.5836725622349727	0.6096326432172018
chess	CNRG	13	0.626403165256002	0.6130737120578347	0.6397326184541694
chess	CNRG	14	0.651676020187596	0.6377404224131442	0.6656116179620477
chess	CNRG	15	0.6746448101418159	0.6602075497821611	0.6890820705014706
chess	CNRG	16	0.6991188165511667	0.6854815330210209	0.7127561000813123
chess	CNRG	17	0.7151358117023294	0.7019839627115356	0.7282876606931235
chess	CNRG	18	0.7314199646184517	0.7189439471609678	0.7438959820759359
chess	CNRG	19	0.7462611005312438	0.7342575514469987	0.7582646496154892
chess	CNRG	20	0.7591785449595652	0.748307930802759	0.770049159116372
chess	Chung-Lu	1	0.5829782006988329	0.5819776943882595	0.5839787070094062
chess	Chung-Lu	2	0.5800347155468409	0.579213530460254	0.5808559006334283
chess	Chung-Lu	3	0.5752028726940742	0.5742564792423559	0.5761492661457925
chess	Chung-Lu	4	0.5712250648022487	0.5703420297402272	0.5721080998642704
chess	Chung-Lu	5	0.5684614820972287	0.5676663689944677	0.5692565951999897
chess	Chung-Lu	6	0.5650316975043467	0.5640756703252178	0.5659877246834758
chess	Chung-Lu	7	0.5623640496820032	0.5612175251935199	0.5635105741704864
chess	Chung-Lu	8	0.558823189068639	0.5579812960143123	0.5596650821229657
chess	Chung-Lu	9	0.5557232030693386	0.5547737600450606	0.5566726460936167
chess	Chung-Lu	10	0.5538226686950771	0.552929210496844	0.5547161268933101
chess	Chung-Lu	11	0.550273649285568	0.5493124792812453	0.5512348192898905
chess	Chung-Lu	12	0.5477594889969782	0.5467811806453593	0.5487377973485974
chess	Chung-Lu	13	0.5458821424038622	0.5447003571127683	0.5470639276949562
chess	Chung-Lu	14	0.5435595326767951	0.5423929694097407	0.54472609594385
chess	Chung-Lu	15	0.5413213183445555	0.5401716761913543	0.5424709604977563
chess	Chung-Lu	16	0.539556699186614	0.5385605874481268	0.5405528109251013
chess	Chung-Lu	17	0.5370427313209685	0.5361169556185971	0.5379685070233396
chess	Chung-Lu	18	0.5350905378574571	0.5342068301115812	0.5359742456033332
chess	Chung-Lu	19	0.5332290385477525	0.5321547613462071	0.5343033157492979
chess	Chung-Lu	20	0.532116486982344	0.5312295621077844	0.5330034118569035
chess	Erdos-Renyi	1	0.565324696264494	0.5622127061160512	0.5684366864129368
chess	Erdos-Renyi	2	0.5670405872755153	0.5627971380553514	0.5712840364956795
chess	Erdos-Renyi	3	0.5687443495059593	0.5640029269153605	0.5734857720965582
chess	Erdos-Renyi	4	0.5710894906499551	0.5659220527979797	0.5762569285019304
chess	Erdos-Renyi	5	0.5691898812744469	0.5634967407220302	0.5748830218268639
chess	Erdos-Renyi	6	0.5673188880402978	0.5613839851379384	0.5732537909426573
chess	Erdos-Renyi	7	0.5670974470399561	0.5605277464091974	0.5736671476707148
chess	Erdos-Renyi	8	0.5661486592845065	0.5589062920163187	0.5733910265526944
chess	Erdos-Renyi	9	0.5657753319979064	0.5581090922451881	0.5734415717506247
