dataset	model	gen	clu	pl
clique-ring-500-4	BTER	0	0.75	250.6250625312658
clique-ring-500-4	BTER	1	0.7513766666666664	8.45005646208315
clique-ring-500-4	BTER	2	0.7516549999999994	8.485564276615865
clique-ring-500-4	BTER	3	0.7511933333333326	8.464947552562428
clique-ring-500-4	BTER	4	0.750478333333333	8.510543628250629
clique-ring-500-4	BTER	5	0.7503299999999995	8.533353791374681
clique-ring-500-4	BTER	6	0.7502483333333332	8.587712443374404
clique-ring-500-4	BTER	7	0.7505683333333328	8.635674290975604
clique-ring-500-4	BTER	8	0.7497966666666663	8.59802733950646
clique-ring-500-4	BTER	9	0.7491916666666664	8.711772713559531
clique-ring-500-4	BTER	10	0.7495383333333332	8.719625936839822
clique-ring-500-4	BTER	11	0.7483899999999997	8.807958278395148
clique-ring-500-4	BTER	12	0.7478066666666662	8.83109541265969
clique-ring-500-4	BTER	13	0.7470249999999997	8.80558570542154
clique-ring-500-4	BTER	14	0.748031666666666	8.875478913049271
clique-ring-500-4	BTER	15	0.748123333333333	8.926674150078748
clique-ring-500-4	BTER	16	0.7477249999999996	8.950686951962519
clique-ring-500-4	BTER	17	0.7513166666666664	9.0879002019496
clique-ring-500-4	BTER	18	0.7511616666666664	9.094492370580076
clique-ring-500-4	BTER	19	0.7522272302818073	9.194760312211132
clique-ring-500-4	BTER	20	0.7552205127563779	9.282459225528237
clique-ring-500-4	BUGGE	0	0.75	250.6250625312658
clique-ring-500-4	BUGGE	1	0.6444267732207589	10.846119769884943
clique-ring-500-4	BUGGE	2	0.6253222237119989	9.08531276638319
clique-ring-500-4	BUGGE	3	0.6160297073640542	9.031344022011005
clique-ring-500-4	BUGGE	4	0.6106904870277459	8.877463701850925
clique-ring-500-4	BUGGE	5	0.607276065208189	8.953701540770385
clique-ring-500-4	BUGGE	6	0.6046999856074126	8.920634287143574
clique-ring-500-4	BUGGE	7	0.6030777074608291	8.865226383191594
clique-ring-500-4	BUGGE	8	0.6015007206295594	8.909529884942472
clique-ring-500-4	BUGGE	9	0.6014246017050486	9.143327173586794
clique-ring-500-4	BUGGE	10	0.5989118839171621	9.080551015507751
clique-ring-500-4	BUGGE	11	0.5987679850594061	9.122845432716357
clique-ring-500-4	BUGGE	12	0.5982470079483658	9.179442961480738
clique-ring-500-4	BUGGE	13	0.5973401859600381	9.045936068034017
clique-ring-500-4	BUGGE	14	0.5973255273593587	9.064033726863432
clique-ring-500-4	BUGGE	15	0.595850365894423	9.038300500250124
clique-ring-500-4	BUGGE	16	0.5943475514548131	9.016358849424716
clique-ring-500-4	BUGGE	17	0.5958318959774661	9.18332937468734
clique-ring-500-4	BUGGE	18	0.5956010066132706	9.159473656828416
clique-ring-500-4	BUGGE	19	0.5941342228109694	9.21253164582291
clique-ring-500-4	BUGGE	20	0.5944829080742438	9.308991775887945
clique-ring-500-4	CNRG	0	0.75	250.6250625312658
clique-ring-500-4	CNRG	1	0.75	250.6250625312658
clique-ring-500-4	CNRG	2	0.75	250.6250625312658
clique-ring-500-4	CNRG	3	0.75	250.6250625312658
clique-ring-500-4	CNRG	4	0.75	250.6250625312658
clique-ring-500-4	CNRG	5	0.75	250.6250625312658
clique-ring-500-4	CNRG	6	0.75	250.6250625312658
clique-ring-500-4	CNRG	7	0.75	250.6250625312658
clique-ring-500-4	CNRG	8	0.75	250.6250625312658
clique-ring-500-4	CNRG	9	0.75	250.6250625312658
clique-ring-500-4	CNRG	10	0.75	250.6250625312658
clique-ring-500-4	CNRG	11	0.75	250.6250625312658
clique-ring-500-4	CNRG	12	0.75	250.6250625312658
clique-ring-500-4	CNRG	13	0.75	250.6250625312658
clique-ring-500-4	CNRG	14	0.75	250.6250625312658
clique-ring-500-4	CNRG	15	0.75	250.6250625312658
clique-ring-500-4	CNRG	16	0.75	250.6250625312658
clique-ring-500-4	CNRG	17	0.75	250.6250625312658
clique-ring-500-4	CNRG	18	0.75	250.6250625312658
clique-ring-500-4	CNRG	19	0.75	250.6250625312658
clique-ring-500-4	CNRG	20	0.75	250.6250625312658
clique-ring-500-4	Chung-Lu	0	0.75	250.6250625312658
clique-ring-500-4	Chung-Lu	1	0.00089	7.138384222111056
clique-ring-500-4	Chung-Lu	2	0.0008983333333333337	7.14152016008004
clique-ring-500-4	Chung-Lu	3	0.0009850000000000002	7.146811375687843
clique-ring-500-4	Chung-Lu	4	0.0010966666666666672	7.155900210105053
clique-ring-500-4	Chung-Lu	5	0.0009683333333333335	7.158505692846422
clique-ring-500-4	Chung-Lu	6	0.0009433333333333334	7.165509344672335
clique-ring-500-4	Chung-Lu	7	0.0008500000000000002	7.172984942471238
clique-ring-500-4	Chung-Lu	8	0.0009583333333333332	7.174005672836416
clique-ring-500-4	Chung-Lu	9	0.0008933333333333329	7.182878389194594
clique-ring-500-4	Chung-Lu	10	0.0009500000000000001	7.188710205102551
clique-ring-500-4	Chung-Lu	11	0.0008533333333333333	7.193485652826411
clique-ring-500-4	Chung-Lu	12	0.0009333333333333333	7.202875077538772
clique-ring-500-4	Chung-Lu	13	0.0008666666666666668	7.2066432016008015
clique-ring-500-4	Chung-Lu	14	0.0008983333333333334	7.21048716253022
clique-ring-500-4	Chung-Lu	15	0.0009383391695847923	7.219156099240809
clique-ring-500-4	Chung-Lu	16	0.0009483716858429217	7.224851558291658
clique-ring-500-4	Chung-Lu	17	0.000961688344172086	7.229758764527407
clique-ring-500-4	Chung-Lu	18	0.000991685842921461	7.235297273701916
clique-ring-500-4	Chung-Lu	19	0.0009250316825079208	7.241464396471709
clique-ring-500-4	Chung-Lu	20	0.0008700458562614642	7.2456868839925495
clique-ring-500-4	Erdos-Renyi	0	0.75	250.6250625312658
clique-ring-500-4	Erdos-Renyi	1	0.0014911754179249828	6.127777786553497
clique-ring-500-4	Erdos-Renyi	2	0.0015966321783176382	6.124840646715274
clique-ring-500-4	Erdos-Renyi	3	0.0016709685399170038	6.126900600011807
clique-ring-500-4	Erdos-Renyi	4	0.0015877433668813202	6.131793619018738
clique-ring-500-4	Erdos-Renyi	5	0.001565537117526523	6.107806841381904
