dataset	model	gen	pgd_rgfd	ci_lower	ci_upper
clique-ring-500-4	BTER	1	6.050327616782973e-06	4.555695161717057e-06	7.544960071848889e-06
clique-ring-500-4	BTER	2	1.19598481134807e-05	9.462818779508288e-06	1.4456877447453112e-05
clique-ring-500-4	BTER	3	1.936331831339606e-05	1.6094949178845506e-05	2.2631687447946632e-05
clique-ring-500-4	BTER	4	2.583893629151292e-05	2.219274375859259e-05	2.9485128824433244e-05
clique-ring-500-4	BTER	5	3.199838030476458e-05	2.8020231847742196e-05	3.5976528761786955e-05
clique-ring-500-4	BTER	6	4.0384981253031627e-05	3.581485890888593e-05	4.4955103597177324e-05
clique-ring-500-4	BTER	7	4.762611778550319e-05	4.279315735885606e-05	5.24590782121503e-05
clique-ring-500-4	BTER	8	5.5195795155714164e-05	5.02982077129813e-05	6.0093382598447026e-05
clique-ring-500-4	BTER	9	6.126555232864696e-05	5.6278666099691604e-05	6.625243855760232e-05
clique-ring-500-4	BTER	10	7.0025586663841e-05	6.485182564485388e-05	7.519934768282811e-05
clique-ring-500-4	BTER	11	7.727971018758766e-05	7.178259558795131e-05	8.277682478722403e-05
clique-ring-500-4	BTER	12	8.389214929074883e-05	7.778539270564285e-05	8.999890587585479e-05
clique-ring-500-4	BTER	13	8.93822800104649e-05	8.309516739143005e-05	9.566939262949979e-05
clique-ring-500-4	BTER	14	9.511716783451989e-05	8.821105945060197e-05	0.00010202327621843781
clique-ring-500-4	BTER	15	0.00010145506679217349	9.430765218059436e-05	0.00010860248140375266
clique-ring-500-4	BTER	16	0.0001063364402679805	9.885360628869397e-05	0.00011381927424726706
clique-ring-500-4	BTER	17	0.00011341776486779051	0.00010540423834108603	0.00012143129139449505
clique-ring-500-4	BTER	18	0.00011963147095396056	0.00011158193514335541	0.00012768100676456578
clique-ring-500-4	BTER	19	0.00012477411710579579	0.00011621575856431423	0.00013333247564727735
clique-ring-500-4	BTER	20	0.0001312777957823965	0.00012263768006737078	0.00013991791149742228
clique-ring-500-4	BUGGE	1	0.024457314626082506	0.023755321831796215	0.02515930742036879
clique-ring-500-4	BUGGE	2	0.037925487951086086	0.03613207435253331	0.03971890154963886
clique-ring-500-4	BUGGE	3	0.03521208236855715	0.033788875725498324	0.036635289011615974
clique-ring-500-4	BUGGE	4	0.03383345380017405	0.03216075829856306	0.03550614930178504
clique-ring-500-4	BUGGE	5	0.032685968900843826	0.03140624683976361	0.033965690961924054
clique-ring-500-4	BUGGE	6	0.032066530475079444	0.03071441811431749	0.0334186428358414
clique-ring-500-4	BUGGE	7	0.0320423686251644	0.030550028737167594	0.03353470851316121
clique-ring-500-4	BUGGE	8	0.03393503739886481	0.03262556272973013	0.03524451206799951
clique-ring-500-4	BUGGE	9	0.03240790064402713	0.03067735903978586	0.03413844224826839
clique-ring-500-4	BUGGE	10	0.031681854871953366	0.030499218136276835	0.0328644916076299
clique-ring-500-4	BUGGE	11	0.03216915742243096	0.03090534274825747	0.033432972096604466
clique-ring-500-4	BUGGE	12	0.032921696716983126	0.03150892058670181	0.03433447284726447
clique-ring-500-4	BUGGE	13	0.0331440614846056	0.03145315433173368	0.03483496863747752
clique-ring-500-4	BUGGE	14	0.033724153419532825	0.032042008433389856	0.035406298405675794
clique-ring-500-4	BUGGE	15	0.03434162793034057	0.032697607645846644	0.035985648214834506
clique-ring-500-4	BUGGE	16	0.03402301679949207	0.03263821501386498	0.035407818585119155
clique-ring-500-4	BUGGE	17	0.0327578486242078	0.03135479671951765	0.034160900528897954
clique-ring-500-4	BUGGE	18	0.031890658991002095	0.0307338786952136	0.03304743928679062
clique-ring-500-4	BUGGE	19	0.034788218367252	0.033103393704353605	0.03647304303015043
clique-ring-500-4	BUGGE	20	0.032482424898793355	0.031074507792989158	0.033890342004597555
clique-ring-500-4	CNRG	1	0.0	nan	nan
clique-ring-500-4	CNRG	2	0.0	nan	nan
clique-ring-500-4	CNRG	3	0.0	nan	nan
clique-ring-500-4	CNRG	4	0.0	nan	nan
clique-ring-500-4	CNRG	5	0.0	nan	nan
clique-ring-500-4	CNRG	6	0.0	nan	nan
clique-ring-500-4	CNRG	7	0.0	nan	nan
clique-ring-500-4	CNRG	8	0.0	nan	nan
clique-ring-500-4	CNRG	9	0.0	nan	nan
clique-ring-500-4	CNRG	10	0.0	nan	nan
clique-ring-500-4	CNRG	11	0.0	nan	nan
clique-ring-500-4	CNRG	12	0.0	nan	nan
clique-ring-500-4	CNRG	13	0.0	nan	nan
clique-ring-500-4	CNRG	14	0.0	nan	nan
clique-ring-500-4	CNRG	15	0.0	nan	nan
clique-ring-500-4	CNRG	16	0.0	nan	nan
clique-ring-500-4	CNRG	17	0.0	nan	nan
clique-ring-500-4	CNRG	18	0.0	nan	nan
clique-ring-500-4	CNRG	19	0.0	nan	nan
clique-ring-500-4	CNRG	20	0.0	nan	nan
clique-ring-500-4	Chung-Lu	1	6.53777799327651e-05	6.294804651998523e-05	6.780751334554496e-05
clique-ring-500-4	Chung-Lu	2	8.22137913261681e-05	7.833229021267286e-05	8.609529243966338e-05
clique-ring-500-4	Chung-Lu	3	9.939826278180826e-05	9.46575081877744e-05	0.00010413901737584204
clique-ring-500-4	Chung-Lu	4	0.00011741009766666153	0.00011189276544285173	0.00012292742989047134
clique-ring-500-4	Chung-Lu	5	0.00013425837184915127	0.00012817848207254126	0.00014033826162576117
clique-ring-500-4	Chung-Lu	6	0.00015287561732047262	0.0001459543975815575	0.00015979683705938773
clique-ring-500-4	Chung-Lu	7	0.00017244355404982925	0.00016536925746782482	0.00017951785063183368
clique-ring-500-4	Chung-Lu	8	0.0001885689563474269	0.0001807243096630296	0.00019641360303182417
clique-ring-500-4	Chung-Lu	9	0.00020516809968387152	0.0001965059251090419	0.00021383027425870099
clique-ring-500-4	Chung-Lu	10	0.00022235988823649303	0.00021376285099885487	0.00023095692547413118
clique-ring-500-4	Chung-Lu	11	0.00024086353065702937	0.00023169879728994656	0.0002500282640241122
clique-ring-500-4	Chung-Lu	12	0.0002606614929997218	0.0002504882607194045	0.0002708347252800391
clique-ring-500-4	Chung-Lu	13	0.00027916111308898034	0.00026879269574235035	0.0002895295304356103
clique-ring-500-4	Chung-Lu	14	0.00029279339828243347	0.00028264668343413297	0.00030294011313073386
clique-ring-500-4	Chung-Lu	15	0.00031242316585059214	0.0003014200292895336	0.0003234263024116508
clique-ring-500-4	Chung-Lu	16	0.0003271911924894373	0.0003161519084286592	0.0003382304765502153
clique-ring-500-4	Chung-Lu	17	0.0003441391858388208	0.00033285572645136414	0.0003554226452262775
clique-ring-500-4	Chung-Lu	18	0.00036045455732365317	0.00034853498543358516	0.0003723741292137212
clique-ring-500-4	Chung-Lu	19	0.0003768893327689002	0.00036448335076914786	0.00038929531476865234
clique-ring-500-4	Chung-Lu	20	0.00039230879886946435	0.00038070242295669735	0.00040391517478223136
clique-ring-500-4	Erdos-Renyi	1	0.0014232391876849262	0.0013266841357970575	0.0015197942395727957
clique-ring-500-4	Erdos-Renyi	2	0.0014437528439715521	0.0013073353612053384	0.0015801703267377654
clique-ring-500-4	Erdos-Renyi	3	0.0014452957884521487	0.0012858891591595383	0.001604702417744759
clique-ring-500-4	Erdos-Renyi	4	0.001455256806763867	0.0012564934909185532	0.0016540201226091806
clique-ring-500-4	Erdos-Renyi	5	0.0015611998658026254	0.001349611128871587	0.001772788602733664
clique-ring-500-4	Erdos-Renyi	6	0.0015816378422075538	0.001337363853045735	0.0018259118313693722
clique-ring-500-4	Erdos-Renyi	7	0.0015789146560866761	0.0013160830311025576	0.0018417462810707943
clique-ring-500-4	Erdos-Renyi	8	0.001582720240666113	0.0013283254932226606	0.0018371149881095655
clique-ring-500-4	Erdos-Renyi	9	0.0015921958948411593	0.0013197376037691285	0.00186465418591319
clique-ring-500-4	Erdos-Renyi	10	0.001571726860189081	0.0012994946069602095	0.0018439591134179522
clique-ring-500-4	Erdos-Renyi	11	0.0015556423243143292	0.0012608827596923096	0.0018504018889363492
clique-ring-500-4	Erdos-Renyi	12	0.0015991220130311457	0.0013158138412065954	0.0018824301848556961
clique-ring-500-4	Erdos-Renyi	13	0.0017455424502968758	0.001443401314940133	0.0020476835856536196
clique-ring-500-4	Erdos-Renyi	14	0.001668063319085324	0.0013612430941085944	0.001974883544062053
clique-ring-500-4	Erdos-Renyi	15	0.0016454873858380023	0.0013365184129321501	0.001954456358743853
clique-ring-500-4	Erdos-Renyi	16	0.0017090598785748077	0.0013805607725566843	0.002037558984592931
clique-ring-500-4	Erdos-Renyi	17	0.0017481630238118863	0.0014039973472040558	0.002092328700419716
clique-ring-500-4	Erdos-Renyi	18	0.0017157087823361505	0.0013733246101523804	0.0020580929545199193
clique-ring-500-4	Erdos-Renyi	19	0.0017185554289853796	0.0013510806485794663	0.0020860302093912934
clique-ring-500-4	Erdos-Renyi	20	0.001691420479937184	0.0013177412619089467	0.0020650996979654206
clique-ring-500-4	GCN_AE	1	1.9449573251925627	1.9442348688151887	1.9456797815699376
clique-ring-500-4	GCN_AE	2	1.999636670084519	1.9993279615775807	1.9999453785914576
clique-ring-500-4	GCN_AE	3	1.9997763334445853	1.9994359616833477	2.0001167052058237
clique-ring-500-4	GCN_AE	4	1.9999455280406253	1.9999451649041757	1.9999458911770753
clique-ring-500-4	GCN_AE	5	1.999945708753275	1.999945706272516	1.9999457112340349
clique-ring-500-4	GCN_AE	6	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	7	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	8	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	9	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	10	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	11	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	12	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	13	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	14	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	15	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	16	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	17	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	18	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	19	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GCN_AE	20	1.9999457088110035	1.9999457063350659	1.999945711286942
clique-ring-500-4	GraphRNN	1	5.514574242143757e-05	4.4801630531846347e-05	6.548985431102878e-05
clique-ring-500-4	GraphRNN	2	1.8055154851776982	1.7173687086384237	1.8936622617169718
clique-ring-500-4	GraphRNN	3	1.4017498240058446	1.2743179030029088	1.5291817450087803
clique-ring-500-4	GraphRNN	4	1.9351777540190822	1.8979416938225282	1.9724138142156344
clique-ring-500-4	GraphRNN	5	1.1988076644660932	1.1841495729864684	1.2134657559457176
clique-ring-500-4	GraphRNN	6	1.8630775641526478	1.8115673585223753	1.9145877697829208
clique-ring-500-4	GraphRNN	7	1.0914098405317596	1.0760068150264432	1.106812866037076
clique-ring-500-4	GraphRNN	8	1.8761969804002478	1.8213997815961582	1.9309941792043375
clique-ring-500-4	GraphRNN	9	1.03510950637268	1.0205761635089714	1.0496428492363883
