dataset	model	gen	avg_clustering	ci_lower	ci_upper
eucore	BTER	0	0.4070504475195381	0.40705044751953856	0.40705044751953856
eucore	BTER	1	0.4289251394147412	0.42605414299522554	0.43179613583425674
eucore	BTER	2	0.4297097195533647	0.42587918302854455	0.4335402560781849
eucore	BTER	3	0.4277860808487751	0.4227963554463007	0.43277580625124956
eucore	BTER	4	0.42483692146311214	0.4190410030371011	0.43063283988912304
eucore	BTER	5	0.422136428807298	0.41487113699605505	0.429401720618541
eucore	BTER	6	0.41729047391912233	0.4099544828492132	0.42462646498903145
eucore	BTER	7	0.4115567648207519	0.40434534797347566	0.4187681816680281
eucore	BTER	8	0.4090122753883287	0.4014062571834905	0.41661829359316677
eucore	BTER	9	0.40920450228926747	0.40099641235128514	0.41741259222724947
eucore	BTER	10	0.40588905951282833	0.39665813263296346	0.4151199863926932
eucore	BTER	11	0.4016277490024074	0.39256248291540796	0.4106930150894068
eucore	BTER	12	0.39865716878329766	0.38979100807379835	0.4075233294927966
eucore	BTER	13	0.39789380660946605	0.38912513996291687	0.4066624732560151
eucore	BTER	14	0.39732516514415317	0.3875241144617793	0.40712621582652714
eucore	BTER	15	0.3931232185503086	0.3832104264235518	0.40303601067706557
eucore	BTER	16	0.39169532433451215	0.3812962466106441	0.40209440205838
eucore	BTER	17	0.3935885680035677	0.3837205171020632	0.4034566189050725
eucore	BTER	18	0.39458105232800983	0.38392084373913804	0.40524126091688173
eucore	BTER	19	0.39274927539388954	0.38182558379609954	0.4036729669916794
eucore	BTER	20	0.391749252699451	0.38115517289697315	0.40234333250192894
eucore	BUGGE	0	0.4070504475195381	0.40705044751953856	0.40705044751953856
eucore	BUGGE	1	0.21568951610513565	0.21368902217661212	0.21769001003365923
eucore	BUGGE	2	0.22227682890858613	0.22010471749533364	0.22444894032183868
eucore	BUGGE	3	0.21606722135962525	0.21390133455761215	0.2182331081616384
eucore	BUGGE	4	0.2149961928171137	0.21271938847382066	0.21727299716040666
eucore	BUGGE	5	0.21505299860242247	0.2130300758314878	0.21707592137335713
eucore	BUGGE	6	0.2162274582552933	0.21395850848041373	0.21849640803017298
eucore	BUGGE	7	0.21684865104372986	0.21476000997621733	0.21893729211124244
eucore	BUGGE	8	0.21658386439178767	0.21461390095187394	0.21855382783170124
eucore	BUGGE	9	0.2155883990877241	0.21324798170367232	0.2179288164717758
eucore	BUGGE	10	0.21649530747340864	0.2141606221849341	0.21882999276188336
eucore	BUGGE	11	0.21736207802762156	0.21501511254148883	0.21970904351375423
eucore	BUGGE	12	0.21935976278236513	0.21712671829499397	0.2215928072697363
eucore	BUGGE	13	0.21967659140776644	0.21708868395246608	0.2222644988630668
eucore	BUGGE	14	0.22087777269625544	0.21804509528154517	0.22371045011096571
eucore	BUGGE	15	0.2206087941287951	0.21797942583968202	0.2232381624179081
eucore	BUGGE	16	0.22139860046203533	0.2187710118405455	0.22402618908352526
eucore	BUGGE	17	0.22120276230467062	0.21931014028524443	0.22309538432409692
eucore	BUGGE	18	0.22093620581922763	0.21863800875770803	0.22323440288074722
eucore	BUGGE	19	0.22309247582565142	0.2207774435746683	0.22540750807663454
eucore	BUGGE	20	0.22336399178153526	0.22119519897562986	0.2255327845874406
eucore	CNRG	0	0.4070504475195381	0.40705044751953856	0.40705044751953856
eucore	CNRG	1	0.26822126706589855	0.26575555055443273	0.27068698357736426
eucore	CNRG	2	0.19607642937331804	0.19369446348525154	0.19845839526138453
eucore	CNRG	3	0.15027776996997005	0.14788648712791397	0.15266905281202608
eucore	CNRG	4	0.11964481269843923	0.11770439617223712	0.12158522922464139
eucore	CNRG	5	0.09793345991116624	0.09617271134383489	0.09969420847849762
eucore	CNRG	6	0.08156269402104444	0.07966502822801792	0.08346035981407092
eucore	CNRG	7	0.06890176493619232	0.06732715971425669	0.07047637015812792
eucore	CNRG	8	0.06008659611289767	0.0583178571086116	0.06185533511718378
eucore	CNRG	9	0.05227000682908635	0.05079876601280264	0.05374124764537007
eucore	CNRG	10	0.046054447193490604	0.04482702115064367	0.047281873236337535
eucore	CNRG	11	0.041926934130810646	0.04096970305513129	0.04288416520649
