dataset	model	gen	avg_pl	ci_lower	ci_upper
eucore	BTER	0	2.586933824816468	nan	nan
eucore	BTER	1	2.7772947705493207	2.7706706263698297	2.7839189147288117
eucore	BTER	2	2.842981048036451	2.833625689189235	2.8523364068836665
eucore	BTER	3	2.884027159978931	2.8755055080455683	2.892548811912294
eucore	BTER	4	2.906836213576783	2.8974009245034864	2.91627150265008
eucore	BTER	5	2.9169325621008926	2.904145714265386	2.929719409936399
eucore	BTER	6	2.9231576470499694	2.9127771763042034	2.9335381177957363
eucore	BTER	7	2.932977069957423	2.9224094003581986	2.9435447395566467
eucore	BTER	8	2.9511072561487652	2.9411825064245547	2.9610320058729758
eucore	BTER	9	2.964315587422264	2.9528325139836227	2.975798660860904
eucore	BTER	10	2.9697245406573853	2.9587423966124176	2.980706684702354
eucore	BTER	11	2.974743560351093	2.963553202021612	2.9859339186805762
eucore	BTER	12	2.979364505952808	2.9670705960173605	2.9916584158882547
eucore	BTER	13	2.9919354454120133	2.980442652484832	3.0034282383391955
eucore	BTER	14	2.9963540381306673	2.984559338173421	3.008148738087913
eucore	BTER	15	2.995868295279136	2.9827930355646317	3.0089435549936403
eucore	BTER	16	3.0039118376784573	2.9903814680668024	3.017442207290112
eucore	BTER	17	3.0113433898234865	2.9985563014865146	3.0241304781604574
eucore	BTER	18	3.0187276221352413	3.007557321788383	3.0298979224820997
eucore	BTER	19	3.0318780545996664	3.018297121312161	3.045458987887169
eucore	BTER	20	3.0364927314722583	3.0222905739029957	3.050694889041521
eucore	BUGGE	0	2.586933824816468	nan	nan
eucore	BUGGE	1	6.854917968307575	6.758789069212243	6.951046867402907
eucore	BUGGE	2	8.173052625075938	8.015454610722683	8.330650639429189
eucore	BUGGE	3	8.242102573078943	8.077332699462493	8.406872446695393
eucore	BUGGE	4	8.538447709558183	8.373055958459346	8.703839460657015
eucore	BUGGE	5	8.315583200337723	8.166647449321697	8.464518951353746
eucore	BUGGE	6	8.205527537813653	8.046091377787464	8.36496369783985
eucore	BUGGE	7	8.402633827905397	8.21381705367416	8.59145060213663
eucore	BUGGE	8	8.334468714284244	8.18254820288413	8.486389225684357
eucore	BUGGE	9	8.655509477867815	8.446496752075687	8.864522203659943
eucore	BUGGE	10	8.454139722614057	8.259151853320718	8.6491275919074
eucore	BUGGE	11	8.458685598377281	8.258138507686263	8.659232689068299
eucore	BUGGE	12	8.497347556141307	8.32307585413112	8.671619258151496
eucore	BUGGE	13	8.537705295456185	8.349769432142336	8.725641158770033
eucore	BUGGE	14	8.495672120344727	8.309913411670694	8.681430829018757
eucore	BUGGE	15	8.472544948484323	8.302091693572285	8.642998203396358
eucore	BUGGE	16	8.563120904878305	8.344717700081961	8.781524109674653
eucore	BUGGE	17	8.573833512844697	8.394752746248304	8.75291427944109
eucore	BUGGE	18	8.670199129683041	8.47674767224011	8.86365058712598
eucore	BUGGE	19	8.650742201895136	8.438248374043727	8.863236029746549
eucore	BUGGE	20	8.661046493609756	8.4952678038312	8.826825183388312
eucore	CNRG	0	2.586933824816468	nan	nan
eucore	CNRG	1	2.5972719794670893	2.593759365250621	2.600784593683558
eucore	CNRG	2	2.6213136738539964	2.6172356587570023	2.6253916889509896
eucore	CNRG	3	2.647300677032364	2.642764201489333	2.6518371525753968
eucore	CNRG	4	2.669897894826399	2.66496157779284	2.6748342118599586
eucore	CNRG	5	2.6905099812416005	2.684520401447361	2.6964995610358398
eucore	CNRG	6	2.7078392253160284	2.7014394887736524	2.7142389618584044
eucore	CNRG	7	2.7198449884718228	2.713388408765339	2.7263015681783056
eucore	CNRG	8	2.730774981076282	2.7228851953394813	2.738664766813084
eucore	CNRG	9	2.7426422394210594	2.7340942250392795	2.751190253802841
eucore	CNRG	10	2.750076045897667	2.741995433641664	2.75815665815367
eucore	CNRG	11	2.756966959093239	2.7488408685128283	2.7650930496736503
eucore	CNRG	12	2.761952048025386	2.7531257503492115	2.770778345701561
eucore	CNRG	13	2.7665500225012285	2.7574558720923728	2.7756441729100843
eucore	CNRG	14	2.772481355125759	2.7632504313157527	2.781712278935767
eucore	CNRG	15	2.776228895143577	2.7668613343974533	2.7855964558897037
eucore	CNRG	16	2.7795238579188317	2.770285210065314	2.788762505772347
eucore	CNRG	17	2.7845362307699055	2.7756201407833307	2.7934523207564803
eucore	CNRG	18	2.7895706931021964	2.7804787193989653	2.7986626668054293
eucore	CNRG	19	2.7920953020525205	2.7832196398386584	2.800970964266382
eucore	CNRG	20	2.7986330809117077	2.7886443454742946	2.808621816349121
eucore	Chung-Lu	0	2.586933824816468	nan	nan
eucore	Chung-Lu	1	2.505463186456041	2.503752148206814	2.507174224705268
eucore	Chung-Lu	2	2.5406266775176256	2.5389603640553986	2.5422929909798526
eucore	Chung-Lu	3	2.569800116513453	2.5684909183343145	2.5711093146925914
eucore	Chung-Lu	4	2.5940589820207394	2.5925891036877116	2.595528860353767
eucore	Chung-Lu	5	2.6173597325362397	2.615854836203419	2.6188646288690576
eucore	Chung-Lu	6	2.639888726970337	2.6384392662863383	2.6413381876543363
eucore	Chung-Lu	7	2.660464200519544	2.6590031102278235	2.661925290811263
eucore	Chung-Lu	8	2.678898833291498	2.677461028841079	2.680336637741915
eucore	Chung-Lu	9	2.698543738351046	2.6970734334619664	2.700014043240124
eucore	Chung-Lu	10	2.71668922086005	2.71485910511938	2.718519336600719
eucore	Chung-Lu	11	2.7344143429902754	2.7325977178485306	2.7362309681320203
eucore	Chung-Lu	12	2.749738814927615	2.748187428479701	2.7512902013755305
eucore	Chung-Lu	13	2.7650471906370346	2.76341054029874	2.7666838409753294
eucore	Chung-Lu	14	2.7833444748144167	2.781342879783878	2.7853460698449553
eucore	Chung-Lu	15	2.7980163593478533	2.796194992348034	2.7998377263476755
eucore	Chung-Lu	16	2.813982790424532	2.8120966276746304	2.815868953174433
eucore	Chung-Lu	17	2.828962971692318	2.8271868562735034	2.8307390871111324
eucore	Chung-Lu	18	2.842497599769973	2.8404465696010974	2.8445486299388487
eucore	Chung-Lu	19	2.8562524171014774	2.8545560228890747	2.85794881131388
eucore	Chung-Lu	20	2.8714218055687475	2.8696687819193234	2.873174829218169
eucore	Erdos-Renyi	0	2.586933824816468	nan	nan
eucore	Erdos-Renyi	1	2.296062478763604	2.294405896426046	2.2977190611011618
eucore	Erdos-Renyi	2	2.2962030456852793	2.2937863000693026	2.298619791301256
eucore	Erdos-Renyi	3	2.29624876185377	2.2931220986520775	2.299375425055462
eucore	Erdos-Renyi	4	2.2961131784063182	2.2924572130788503	2.299769143733786
eucore	Erdos-Renyi	5	2.297899568579402	2.2937697020896026	2.3020294350691994
eucore	Erdos-Renyi	6	2.2967575292676146	2.2920939330416146	2.3014211254936146
eucore	Erdos-Renyi	7	2.297690633333676	2.292295500463991	2.303085766203363
eucore	Erdos-Renyi	8	2.297844173762625	2.2918655256916414	2.3038228218336108
eucore	Erdos-Renyi	9	2.298152037149535	2.292016058432339	2.304288015866732
eucore	Erdos-Renyi	10	2.298607716147898	2.292257453772595	2.304957978523201
eucore	Erdos-Renyi	11	2.2985372473512427	2.291987694437314	2.305086800265171
eucore	Erdos-Renyi	12	2.2976819019573522	2.2912629379122524	2.304100866002452
eucore	Erdos-Renyi	13	2.2991953954345608	2.292637488382862	2.3057533024862593
eucore	Erdos-Renyi	14	2.2982910801989274	2.291308009753255	2.3052741506445997
eucore	Erdos-Renyi	15	2.2986038035028464	2.2917074188656326	2.305500188140061
eucore	Erdos-Renyi	16	2.297794215463185	2.290803180149063	2.3047852507773063
eucore	Erdos-Renyi	17	2.296709259583406	2.2893772810611237	2.3040412381056887
eucore	Erdos-Renyi	18	2.295059853172846	2.287257163804712	2.3028625425409808
eucore	Erdos-Renyi	19	2.2937258471391364	2.2858669112561576	2.3015847830221134
eucore	Erdos-Renyi	20	2.2938070654132474	2.286125680756769	2.301488450069726
eucore	GCN_AE	0	2.586933824816468	nan	nan
eucore	GCN_AE	1	1.5365067486622	1.534147622155458	1.538865875168942
eucore	GCN_AE	2	1.5335634182173254	1.5087642305980582	1.5583626058365927
eucore	GCN_AE	3	1.377429028201484	1.3107987930029694	1.4440592633999982
eucore	GCN_AE	4	1.3638836091061666	1.2985146561009036	1.4292525621114291
eucore	GCN_AE	5	1.2905741085861964	1.2164698112374075	1.3646784059349861
eucore	GCN_AE	6	1.3049041884343304	1.2236726318724838	1.3861357449961766
eucore	GCN_AE	7	1.2950019872118284	1.206544411032539	1.3834595633911178
eucore	GCN_AE	8	1.2948517416418692	1.2030059179660344	1.386697565317704
eucore	GCN_AE	9	1.2974190957671357	1.2048144462614219	1.3900237452728494
eucore	GCN_AE	10	1.299424182205702	1.2062265872441813	1.3926217771672227
eucore	GCN_AE	11	1.299606676208029	1.2063552568649234	1.3928580955511345
eucore	GCN_AE	12	1.2864749745163249	1.1936371168618956	1.3793128321707542
eucore	GCN_AE	13	1.273187096508479	1.1809681308735644	1.3654060621433937
eucore	GCN_AE	14	1.2732237518147465	1.180993959490466	1.365453544139027
eucore	GCN_AE	15	1.273363495021674	1.181091899685183	1.3656350903581653
eucore	GCN_AE	16	1.2742098619248154	1.1816672743486685	1.3667524495009624
eucore	GCN_AE	17	1.274220240730635	1.1816741409547455	1.3667663405065242
eucore	GCN_AE	18	1.274220240730635	1.1816741409547455	1.3667663405065242
eucore	GCN_AE	19	1.274220240730635	1.1816741409547455	1.3667663405065242
eucore	GCN_AE	20	1.274220240730635	1.1816741409547455	1.3667663405065242
eucore	GraphRNN	0	2.586933824816468	nan	nan
eucore	GraphRNN	1	2.435982163418555	2.4147247288830647	2.457239597954045
eucore	GraphRNN	2	2.253288451440595	2.245841824124473	2.260735078756716
eucore	GraphRNN	3	2.145898519686358	2.1416869303090014	2.1501101090637142
eucore	GraphRNN	4	2.0830868366491804	2.0806659286964435	2.0855077446019172
eucore	GraphRNN	5	2.0737009134708533	2.070158058839181	2.0772437681025258
eucore	GraphRNN	6	2.1118808123882196	2.1083686420451966	2.1153929827312417
eucore	GraphRNN	7	2.1472251021067383	2.140501336036477	2.153948868177
eucore	GraphRNN	8	2.1885432910788127	2.182965286655699	2.1941212955019265
eucore	GraphRNN	9	2.258666857732571	2.246615582241248	2.270718133223894
eucore	GraphRNN	10	2.300745861048126	2.287108464245653	2.3143832578505994
eucore	GraphRNN	11	2.3071776017696477	2.2928594656686387	2.3214957378706558
eucore	GraphRNN	12	2.4708323258464415	2.4429712186683474	2.4986934330245374
eucore	GraphRNN	13	2.5627502542827774	2.5236597910740803	2.6018407174914744
eucore	GraphRNN	14	2.818895546953292	2.758086048919956	2.879705044986627
eucore	GraphRNN	15	2.6795463203509	2.5910523516879826	2.768040289013817
eucore	GraphRNN	16	3.081846517860967	3.010244145918241	3.153448889803694
eucore	GraphRNN	17	3.6858134480558804	3.5652372994347075	3.8063895966770525
eucore	GraphRNN	18	3.706358568112725	3.227086696925853	4.185630439299598
eucore	GraphRNN	19	3.2675601869817377	3.2138830811810166	3.3212372927824587
eucore	GraphRNN	20	3.4168741801783953	3.3317969022677882	3.5019514580890023
eucore	HRG	0	2.586933824816468	nan	nan
eucore	HRG	1	2.310810567224075	2.2588493679464756	2.362771766501674
eucore	HRG	2	2.3109503510042786	2.2375045178285675	2.3843961841799897
eucore	HRG	3	2.2320478236550114	2.1948598072712446	2.269235840038778
eucore	HRG	4	2.2914863637281853	2.234470697796105	2.3485020296602674
eucore	HRG	5	2.288053230316817	2.251514098566958	2.324592362066675
eucore	HRG	6	2.3189162125664904	2.263706582527936	2.374125842605044
eucore	HRG	7	2.36624670532714	2.3144168636832427	2.4180765469710375
eucore	HRG	8	2.4408794194900945	2.375685304096445	2.506073534883743
eucore	HRG	9	2.481246711804472	2.4097979544508616	2.5526954691580803
eucore	HRG	10	2.491879706186586	2.4201892260402635	2.5635701863329086
eucore	HRG	11	2.633916278206181	2.4924318729121477	2.775400683500214
eucore	HRG	12	2.6623729068219553	2.529577429407943	2.7951683842359647
eucore	HRG	13	2.7618518365505262	2.6267734550034905	2.8969302180975602
eucore	HRG	14	2.7551584479394933	2.6196137538748947	2.890703142004092
eucore	HRG	15	2.7841837870562203	2.650259180636863	2.9181083934755776
eucore	HRG	16	2.8738887471096235	2.698806761228045	3.048970732991202
eucore	HRG	17	2.798104882316787	2.6491159581587587	2.9470938064748173
eucore	HRG	18	2.886139891671091	2.703696614076031	3.06858316926615
eucore	HRG	19	2.85838577958486	2.715676799283902	3.001094759885819
eucore	HRG	20	2.873267440096399	2.7383143057020174	3.00822057449078
eucore	Kronecker	0	2.586933824816468	nan	nan
eucore	Kronecker	1	2.0416622305670646	2.038827065448394	2.044497395685735
eucore	Kronecker	2	1.9056487506109483	1.9043570827329463	1.9069404184889494
eucore	Kronecker	3	1.8136586250610944	1.8126349122951515	1.8146823378270382
eucore	Kronecker	4	1.65858737322825	1.655583151678209	1.6615915947782913
eucore	Kronecker	5	1.394522314882698	1.3888134291012233	1.4002312006641726
eucore	Kronecker	6	1.1774431054496577	1.1763375630410344	1.1785486478582814
eucore	Kronecker	7	1.1513011669110456	1.1508930745147072	1.1517092593073848
eucore	Kronecker	8	1.148464458088954	1.1482722832099828	1.1486566329679253
eucore	Kronecker	9	1.1474987781036168	1.1473617590480147	1.1476357971592188
eucore	Kronecker	10	1.1469548051075271	1.1467996846469324	1.1471099255681214
eucore	Kronecker	11	1.1465946893328447	1.146452674021781	1.1467367046439079
eucore	Kronecker	12	1.1464518801930594	1.1463450477481474	1.1465587126379715
eucore	Kronecker	13	1.1464651301319653	1.1463473901753505	1.1465828700885792
eucore	Kronecker	14	1.1464778836754645	1.1463621051674162	1.1465936621835124
eucore	Kronecker	15	1.1464193472018571	1.1462873123360573	1.1465513820676574
eucore	Kronecker	16	1.1464534457478006	1.1463217374414725	1.1465851540541288
eucore	Kronecker	17	1.1465840359237531	1.146465410900549	1.1467026609469582
eucore	Kronecker	18	1.1465419186827959	1.1464392632327192	1.1466445741328721
eucore	Kronecker	19	1.1465725806451614	1.1464726134441443	1.1466725478461781
eucore	Kronecker	20	1.1464882697947214	1.146364655862833	1.1466118837266097
eucore	Linear_AE	0	2.586933824816468	nan	nan
eucore	Linear_AE	1	1.5646268469229105	1.5634034523514229	1.5658502414943987
eucore	Linear_AE	2	1.5030382718464592	1.501870446980193	1.504206096712726
eucore	Linear_AE	3	1.496509220456956	1.4956955424274703	1.4973228984864415
eucore	Linear_AE	4	1.4976189289648998	1.4966882642933708	1.498549593636428
eucore	Linear_AE	5	1.5062903800413918	1.5036540292435803	1.5089267308392034
eucore	Linear_AE	6	1.538012623428507	1.5305648427727536	1.5454604040842608
eucore	Linear_AE	7	1.5913301963530027	1.5741623236974367	1.608498069008569
eucore	Linear_AE	8	1.6123646585187545	1.581865233626065	1.642864083411445
eucore	Linear_AE	9	1.6109700270796228	1.5741097729242592	1.6478302812349863
eucore	Linear_AE	10	1.6165698046766408	1.579655256905658	1.6534843524476233
eucore	Linear_AE	11	1.6205081908135215	1.5835232199518958	1.6574931616751472
eucore	Linear_AE	12	1.6214412948795838	1.5843986118897604	1.6584839778694063
eucore	Linear_AE	13	1.6214693011810013	1.5844286134653713	1.6585099888966313
eucore	Linear_AE	14	1.6215780315276822	1.5845430585416027	1.6586130045137617
eucore	Linear_AE	15	1.621840014003151	1.5848077656174817	1.65887226238882
eucore	Linear_AE	16	1.6221258842062998	1.5851107223349203	1.6591410460776783
eucore	Linear_AE	17	1.6207742506769909	1.5837645033605872	1.6577839979933942
eucore	Linear_AE	18	1.6090743299595351	1.564446353730341	1.6537023061887293
eucore	Linear_AE	19	1.6090357801093487	1.5644071895916356	1.6536643706270613
eucore	Linear_AE	20	1.6090183585424374	1.5643893873474508	1.6536473297374226
eucore	NetGAN	0	2.586933824816468	nan	nan
eucore	NetGAN	1	2.54322134244911	2.530409986280542	2.556032698617678
eucore	SBM	0	2.586933824816468	nan	nan
eucore	SBM	1	2.4053624797765054	2.4011688644254128	2.409556095127598
eucore	SBM	2	2.404778122136304	2.400283296081903	2.409272948190705
eucore	SBM	3	2.405403074515295	2.40045204372757	2.410354105303021
eucore	SBM	4	2.4053209913406985	2.4001808399189564	2.4104611427624407
eucore	SBM	5	2.407651197990136	2.4021830674377256	2.413119328542546
eucore	SBM	6	2.4097367201738047	2.4040610956739417	2.415412344673666
eucore	SBM	7	2.4121541582150106	2.406375390931807	2.4179329254982123
eucore	SBM	8	2.413692239577434	2.407664609146049	2.41971987000882
eucore	SBM	9	2.4141071035100548	2.407901391112269	2.4203128159078404
eucore	SBM	10	2.4155355614147576	2.4094434634385844	2.42162765939093
eucore	SBM	11	2.417210160521412	2.411202029487379	2.423218291555445
eucore	SBM	12	2.419722655244489	2.413272352845986	2.4261729576429922
eucore	SBM	13	2.4214995315122376	2.4143321653364636	2.428666897688011
eucore	SBM	14	2.4225528979314466	2.415359624524724	2.4297461713381683
eucore	SBM	15	2.4241960852956623	2.4163994477726782	2.4319927228186455
eucore	SBM	16	2.4272192007907663	2.4196211882718925	2.434817213309639
eucore	SBM	17	2.428678946880696	2.4214982686013626	2.435859625160028
eucore	SBM	18	2.4311154321534882	2.423753106829505	2.4384777574774708
eucore	SBM	19	2.4327475211334315	2.4248244630707605	2.4406705791961025
eucore	SBM	20	2.434717887995388	2.4268897805525973	2.4425459954381776
