dataset	model	gen	avg_clustering	ci_lower	ci_upper
flights	BTER	0	0.455516918234846	nan	nan
flights	BTER	1	0.4570044645286858	0.4547403092025654	0.4592686198548062
flights	BTER	2	0.45765739800615635	0.45454269602699443	0.46077209998531815
flights	BTER	3	0.4557622141920685	0.45172621686093206	0.45979821152320455
flights	BTER	4	0.4556691061574965	0.45092309586926693	0.4604151164457264
flights	BTER	5	0.4549410411768602	0.44982616036617223	0.46005592198754836
flights	BTER	6	0.452079123406278	0.4465046202541954	0.4576536265583608
flights	BTER	7	0.4490611503329018	0.4431940601707344	0.45492824049506914
flights	BTER	8	0.4488795674458659	0.4426724701251876	0.4550866647665447
flights	BTER	9	0.4486804508685393	0.44213283417551963	0.4552280675615593
flights	BTER	10	0.4475396700390273	0.44024154248905906	0.4548377975889955
flights	BTER	11	0.445780320125156	0.4378665140845918	0.4536941261657202
flights	BTER	12	0.44553215184651324	0.43767360647756715	0.453390697215459
flights	BTER	13	0.44487553605981356	0.43655513110821986	0.45319594101140726
flights	BTER	14	0.4452786694719966	0.43649251931191607	0.4540648196320772
flights	BTER	15	0.4466193182204314	0.4374709591296154	0.4557676773112478
flights	BTER	16	0.4453512442326757	0.436158231653388	0.45454425681196337
flights	BTER	17	0.4433051154801327	0.433579125124139	0.45303110583612627
flights	BTER	18	0.44377316288082597	0.43409070718744824	0.453455618574204
flights	BTER	19	0.44669630268957566	0.43689738323107363	0.4564952221480777
flights	BTER	20	0.44693644641789265	0.4370599141387584	0.45681297869702703
flights	BUGGE	0	0.455516918234846	nan	nan
flights	BUGGE	1	0.23520759105441066	0.2342155168638494	0.23619966524497182
flights	BUGGE	2	0.22556915124938126	0.22437472189444546	0.226763580604317
flights	BUGGE	3	0.21740405730019197	0.21616015200124067	0.2186479625991432
flights	BUGGE	4	0.21323622448828355	0.21203018437024282	0.21444226460632446
flights	BUGGE	5	0.2127021027312047	0.2110661831157384	0.21433802234667118
flights	BUGGE	6	0.21315055079551276	0.2117487328473317	0.21455236874369382
flights	BUGGE	7	0.21163470370279178	0.2101215919582934	0.2131478154472902
flights	BUGGE	8	0.21162015766275638	0.2102293855308239	0.21301092979468875
flights	BUGGE	9	0.20972992766037865	0.2079101398115615	0.21154971550919574
flights	BUGGE	10	0.21041340148083307	0.20884342910825646	0.21198337385340957
flights	BUGGE	11	0.20936940445729618	0.207841491466175	0.21089731744841725
flights	BUGGE	12	0.20821579437960896	0.20654796720044252	0.2098836215587753
flights	BUGGE	13	0.20752711194960768	0.2060516762374525	0.20900254766176288
flights	BUGGE	14	0.20619922760052695	0.20461782447696442	0.20778063072408948
flights	BUGGE	15	0.20488222885746868	0.20340443788589016	0.20636001982904736
flights	BUGGE	16	0.2049450422517881	0.20334846164748963	0.2065416228560866
flights	BUGGE	17	0.2047818424985926	0.20321542139627333	0.206348263600912
flights	BUGGE	18	0.2045592037710939	0.2029619213721931	0.2061564861699946
flights	BUGGE	19	0.20381065057075465	0.20208392574203232	0.20553737539947686
flights	BUGGE	20	0.20265378991274702	0.20105750592300384	0.20425007390249025
flights	CNRG	0	0.455516918234846	nan	nan
flights	CNRG	1	0.30558797933556403	0.30339692200539997	0.3077790366657281
flights	CNRG	2	0.2357819123377035	0.23291770143148507	0.2386461232439219
flights	CNRG	3	0.19360384122428886	0.19071541012611268	0.19649227232246505
flights	CNRG	4	0.1640687873847959	0.16129188027246583	0.16684569449712605
flights	CNRG	5	0.1428992213293547	0.14015408156723472	0.1456443610914747
flights	CNRG	6	0.12672995611870816	0.124196057191438	0.12926385504597826
flights	CNRG	7	0.11477919188127043	0.11276042295411631	0.11679796080842464
flights	CNRG	8	0.10542439152079675	0.1029909782928238	0.10785780474876963
flights	CNRG	9	0.09780968682389035	0.09535590115895977	0.10026347248882088
flights	CNRG	10	0.09268210924814049	0.09001933090107472	0.09534488759520629
flights	CNRG	11	0.08595706987578015	0.08277714545806178	0.08913699429349847
flights	CNRG	12	0.08130692012859679	0.078133507480206	0.08448033277698758
flights	CNRG	13	0.0764405622307533	0.07335391842680697	0.07952720603469962
flights	CNRG	14	0.07209270161405343	0.06909751857945484	0.07508788464865204
flights	CNRG	15	0.06804430474874101	0.06512247439637499	0.07096613510110704
flights	CNRG	16	0.06535635864733313	0.062384156189612024	0.06832856110505424
flights	CNRG	17	0.062192715482976474	0.05944212571468981	0.06494330525126313
flights	CNRG	18	0.0601630670751607	0.057316799942061084	0.06300933420826031
flights	CNRG	19	0.05813179844733087	0.055433868536725175	0.06082972835793654
flights	CNRG	20	0.05547375792052067	0.05257775272810184	0.0583697631129395
flights	Chung-Lu	0	0.455516918234846	nan	nan
flights	Chung-Lu	1	0.06270407523366285	0.06195726559926635	0.06345088486805939
flights	Chung-Lu	2	0.052476784858536865	0.05185082764597353	0.05310274207110019
flights	Chung-Lu	3	0.04515433989227586	0.04445282632087906	0.045855853463672644
flights	Chung-Lu	4	0.04018697339263646	0.039558678500918966	0.04081526828435395
flights	Chung-Lu	5	0.0364010709122534	0.035877616751241806	0.03692452507326499
flights	Chung-Lu	6	0.03344518864831875	0.03281177710157307	0.034078600195064424
flights	Chung-Lu	7	0.030431503833341117	0.029784321092573812	0.031078686574108408
flights	Chung-Lu	8	0.027995472192115435	0.027493866087979962	0.02849707829625092
flights	Chung-Lu	9	0.026198078757244066	0.02566802637522351	0.026728131139264623
flights	Chung-Lu	10	0.024561634870102607	0.023987058185356805	0.02513621155484841
flights	Chung-Lu	11	0.023345731442133966	0.022827354786758087	0.023864108097509853
flights	Chung-Lu	12	0.021748625203351253	0.02124938884292224	0.02224786156378028
flights	Chung-Lu	13	0.02083606687948723	0.020333713805519286	0.021338419953455187
flights	Chung-Lu	14	0.019408396683456848	0.018969156335122573	0.019847637031791123
flights	Chung-Lu	15	0.018857779599657634	0.018417013432752347	0.019298545766562914
flights	Chung-Lu	16	0.018003287022046	0.01755503387588327	0.01845154016820873
flights	Chung-Lu	17	0.017639394582602608	0.01722063209942122	0.018058157065783988
flights	Chung-Lu	18	0.01636762284740069	0.01599731058696274	0.016737935107838654
flights	Chung-Lu	19	0.015809219568803178	0.015332936057341004	0.016285503080265353
flights	Chung-Lu	20	0.015125607294360308	0.014774425604476858	0.015476788984243744
flights	Erdos-Renyi	0	0.455516918234846	nan	nan
flights	Erdos-Renyi	1	0.003737720336829169	0.00365077965420221	0.003824661019456129
flights	Erdos-Renyi	2	0.003681599591612903	0.003603875503335043	0.0037593236798907624
flights	Erdos-Renyi	3	0.003631712210294546	0.0035564779961240055	0.003706946424465087
flights	Erdos-Renyi	4	0.003795744888403553	0.0037288557474361335	0.003862634029370972
flights	Erdos-Renyi	5	0.0037261669057067647	0.0036432463742042264	0.003809087437209303
flights	Erdos-Renyi	6	0.003699725073975725	0.0036278834152884717	0.003771566732662979
flights	Erdos-Renyi	7	0.0037461184342719974	0.0036476011854541116	0.003844635683089884
flights	Erdos-Renyi	8	0.0036694059935673384	0.0035882285978194872	0.0037505833893151886
flights	Erdos-Renyi	9	0.0037542199017837684	0.003665424043860528	0.003843015759707012
flights	Erdos-Renyi	10	0.0036716887333108463	0.0035828888643630783	0.003760488602258611
flights	Erdos-Renyi	11	0.0036844816844828847	0.003588901864681559	0.0037800615042842115
flights	Erdos-Renyi	12	0.003729086089971226	0.0036518275094611498	0.0038063446704813043
flights	Erdos-Renyi	13	0.003686823711157825	0.0036057817312876625	0.003767865691027991
flights	Erdos-Renyi	14	0.0037430701170968785	0.0036470232563728306	0.0038391169778209263
flights	Erdos-Renyi	15	0.0037323221873057782	0.0036408047665487143	0.003823839608062842
flights	Erdos-Renyi	16	0.0037036379748772046	0.00361368345822196	0.0037935924915324486
flights	Erdos-Renyi	17	0.0037296282879168974	0.0036373242824032513	0.003821932293430541
flights	Erdos-Renyi	18	0.003731704710590696	0.0036302032862918065	0.003833206134889586
flights	Erdos-Renyi	19	0.003699045662493332	0.003611406610593006	0.003786684714393659
flights	Erdos-Renyi	20	0.0036702773031452927	0.0035753613840752117	0.0037651932222153737
flights	GCN_AE	0	0.455516918234846	nan	nan
flights	GCN_AE	1	0.5776699889452401	0.5754916794480217	0.5798482984424588
flights	GCN_AE	2	0.9154304222207514	0.8874824546462794	0.9433783897952233
