dataset	model	gen	avg_pl	ci_lower	ci_upper
flights	BTER	0	4.097139443251165	nan	nan
flights	BTER	1	3.6936132162273463	3.683546350713856	3.7036800817408393
flights	BTER	2	3.8397473441197376	3.8301880446265857	3.8493066436128895
flights	BTER	3	3.9625774645107312	3.9492315189041505	3.9759234101173138
flights	BTER	4	4.020420347742725	4.005520613640536	4.03532008184491
flights	BTER	5	4.03735266137678	4.022256445272353	4.052448877481208
flights	BTER	6	4.060981238838291	4.042497502995168	4.0794649746814144
flights	BTER	7	4.1031711855681126	4.082775586678395	4.1235667844578305
flights	BTER	8	4.135830163213772	4.113875481983176	4.1577848444443655
flights	BTER	9	4.165007858132945	4.146268189223287	4.1837475270426
flights	BTER	10	4.191929321245254	4.167221958608304	4.2166366838822045
flights	BTER	11	4.198118182408369	4.175619285706884	4.220617079109856
flights	BTER	12	4.211172677567391	4.189645858025937	4.2326994971088485
flights	BTER	13	4.2337966895883845	4.2131365570922235	4.254456822084544
flights	BTER	14	4.268403458381516	4.245740471781765	4.291066444981267
flights	BTER	15	4.284377356158048	4.259823421004953	4.308931291311145
flights	BTER	16	4.295195658979762	4.27105957068674	4.319331747272788
flights	BTER	17	4.303912054940269	4.278718555522827	4.32910555435771
flights	BTER	18	4.314382482848963	4.289732609098961	4.339032356598962
flights	BTER	19	4.336093029835863	4.314534753157845	4.357651306513881
flights	BTER	20	4.351347507019895	4.324576124831006	4.378118889208782
flights	BUGGE	0	4.097139443251165	nan	nan
flights	BUGGE	1	8.378432696079937	8.25413697127299	8.502728420886884
flights	BUGGE	2	9.75508638201475	9.369584481763829	10.140588282265673
flights	BUGGE	3	8.950759075999244	8.626819974022895	9.274698177975592
flights	BUGGE	4	8.100356831243994	7.858134844526062	8.342578817961934
flights	BUGGE	5	8.098520399721869	7.922428147994262	8.274612651449479
flights	BUGGE	6	7.979498891398923	7.835886140456151	8.123111642341701
flights	BUGGE	7	8.208836086248676	8.003423322375232	8.414248850122116
flights	BUGGE	8	8.08594810645805	7.899323604845034	8.272572608071068
flights	BUGGE	9	8.074486133324154	7.906529655584401	8.242442611063904
flights	BUGGE	10	8.075262439177163	7.923079248723169	8.227445629631159
flights	BUGGE	11	8.264279408435442	8.116528178952542	8.412030637918338
flights	BUGGE	12	8.212707383691109	8.012450538996644	8.412964228385574
flights	BUGGE	13	8.166088168959256	8.005043249382629	8.327133088535883
flights	BUGGE	14	8.200526851065309	8.063501604118134	8.337552098012484
flights	BUGGE	15	8.244302881068252	8.053510119201595	8.435095642934906
flights	BUGGE	16	8.349427247417339	8.163888308023523	8.534966186811161
flights	BUGGE	17	8.459135852825307	8.221118442166965	8.697153263483646
flights	BUGGE	18	8.493556908336982	8.281355504231453	8.705758312442516
flights	BUGGE	19	8.334438502767178	8.18172362211319	8.48715338342117
flights	BUGGE	20	8.464988670716767	8.262398414975394	8.667578926458141
flights	CNRG	0	4.097139443251165	nan	nan
flights	CNRG	1	4.182867341800673	4.170107425324235	4.195627258277109
flights	CNRG	2	4.226917810779316	4.2095850630767035	4.244250558481928
flights	CNRG	3	4.277678123749639	4.253554856158508	4.30180139134077
flights	CNRG	4	4.28957830873228	4.268774631317953	4.3103819861466075
flights	CNRG	5	4.298593192345702	4.274702403923472	4.322483980767929
flights	CNRG	6	4.307040116769109	4.286295912939544	4.3277843205986715
flights	CNRG	7	4.3145826894313615	4.290617411152289	4.3385479677104355
flights	CNRG	8	4.328570135575314	4.30687000891957	4.350270262231057
flights	CNRG	9	4.324822512994991	4.3047168858824145	4.344928140107569
flights	CNRG	10	4.316547178254658	4.297364607815567	4.335729748693748
flights	CNRG	11	4.316662585075639	4.296894971076536	4.33643019907474
flights	CNRG	12	4.318954980375178	4.298098837291772	4.339811123458584
flights	CNRG	13	4.317704659714135	4.297154513170548	4.338254806257718
flights	CNRG	14	4.320349546892145	4.295565999107559	4.345133094676731
flights	CNRG	15	4.3164646994629114	4.29602537426304	4.336904024662779
flights	CNRG	16	4.32579998447758	4.307206131380722	4.344393837574442
flights	CNRG	17	4.336256148453171	4.317177099313915	4.355335197592431
flights	CNRG	18	4.344126138468821	4.32392654780876	4.364325729128883
flights	CNRG	19	4.35005017143449	4.330155512105234	4.369944830763746
flights	CNRG	20	4.366559348894575	4.341149766643628	4.391968931145522
flights	Chung-Lu	0	4.097139443251165	nan	nan
flights	Chung-Lu	1	3.3710604575034147	3.3680652211273756	3.3740556938794537
flights	Chung-Lu	2	3.4185798753760537	3.4156196349001315	3.421540115851976
flights	Chung-Lu	3	3.4576855603647605	3.455010147760464	3.460360972969057
flights	Chung-Lu	4	3.4938047850260414	3.4909947122270784	3.4966148578250045
