dataset	model	gen	pagerank_js	ci_lower	ci_upper
flights	BTER	1	0.42405192175680434	0.421820938283015	0.4262829052305937
flights	BTER	2	0.4332703361390302	0.43002724897165545	0.43651342330640475
flights	BTER	3	0.43916828464452334	0.43497615968399483	0.44336040960505185
flights	BTER	4	0.44723488183292887	0.44250074142406426	0.45196902224179347
flights	BTER	5	0.4486892124328504	0.44372397143743836	0.4536544534282624
flights	BTER	6	0.45141310268498214	0.4460260998620848	0.4568001055078795
flights	BTER	7	0.45180074780048846	0.4457038016537555	0.4578976939472214
flights	BTER	8	0.4551728392268757	0.44860616511264917	0.46173951334110186
flights	BTER	9	0.4575176251353173	0.4504228411301538	0.4646124091404808
flights	BTER	10	0.46182240866873187	0.4541438242280574	0.46950099310940635
flights	BTER	11	0.46208089722113965	0.453926219229799	0.47023557521248033
flights	BTER	12	0.46362005937602646	0.4560398625120531	0.47120025623999984
flights	BTER	13	0.46664120143669996	0.4584842949842535	0.4747981078891464
flights	BTER	14	0.4696907423588526	0.46133693626578937	0.47804454845191585
flights	BTER	15	0.4739287738898025	0.46565726061800905	0.482200287161596
flights	BTER	16	0.47380601650318943	0.46571927765261983	0.48189275535375914
flights	BTER	17	0.4730226742165602	0.4639678127530906	0.4820775356800301
flights	BTER	18	0.47597475154188024	0.46690485748783084	0.4850446455959295
flights	BTER	19	0.48028037208655056	0.47139474549519866	0.4891659986779028
flights	BTER	20	0.48321717866417757	0.47405052649866364	0.4923838308296915
flights	BUGGE	1	0.32345074185875256	0.31923896330999335	0.32766252040751165
flights	BUGGE	2	0.3367561799587323	0.33153415150968213	0.34197820840778237
flights	BUGGE	3	0.324704583388032	0.3204403021338349	0.32896886464222896
flights	BUGGE	4	0.31137725451177806	0.30682146408339817	0.31593304494015795
flights	BUGGE	5	0.3101459590602553	0.3057445147379033	0.31454740338260734
flights	BUGGE	6	0.31290995179400716	0.30865922168913135	0.3171606818988831
flights	BUGGE	7	0.3147642498734495	0.3094944173221036	0.32003408242479536
flights	BUGGE	8	0.31509767076777506	0.3112700310326571	0.3189253105028929
flights	BUGGE	9	0.31833277501763957	0.31335552093674635	0.3233100290985328
flights	BUGGE	10	0.3240091258403714	0.3190100616797327	0.32900819000101017
flights	BUGGE	11	0.32267977798247943	0.3169496223615243	0.32840993360343457
flights	BUGGE	12	0.3257643103927645	0.3198690547354064	0.3316595660501229
flights	BUGGE	13	0.32640736454174374	0.32138413382311065	0.3314305952603767
flights	BUGGE	14	0.32523280287556344	0.31935183106980974	0.33111377468131736
flights	BUGGE	15	0.3240706971881198	0.3184942718587381	0.32964712251750156
flights	BUGGE	16	0.32785010706720896	0.3229144535893478	0.33278576054507025
flights	BUGGE	17	0.33055936931320595	0.32515156978185544	0.33596716884455635
flights	BUGGE	18	0.3234414534464547	0.31821687081026295	0.32866603608264633
flights	BUGGE	19	0.32977846815144396	0.32476657500584066	0.33479036129704726
flights	BUGGE	20	0.33198480644594236	0.3257650564333156	0.3382045564585691
flights	CNRG	1	0.1135079260609093	0.11141905609955534	0.11559679602226326
flights	CNRG	2	0.1316787510941838	0.1293910402155683	0.13396646197279932
flights	CNRG	3	0.1520012117773593	0.14933858129214211	0.15466384226257657
flights	CNRG	4	0.17083687666577238	0.16794183949615316	0.17373191383539144
flights	CNRG	5	0.19098756673074455	0.18763874622882973	0.19433638723265953
flights	CNRG	6	0.2118488192414297	0.20825994979929946	0.21543768868355972
flights	CNRG	7	0.2307373208214677	0.22698781301274876	0.2344868286301867
flights	CNRG	8	0.24943290931482834	0.24590716161232806	0.2529586570173286
