dataset	model	gen	pgd_rgfd	ci_lower	ci_upper
flights	BTER	1	0.002807080238562903	0.002790142732070599	0.002824017745055208
flights	BTER	2	0.004434871981078909	0.004411569124384061	0.004458174837773755
flights	BTER	3	0.005512439288362687	0.005490513282462798	0.005534365294262575
flights	BTER	4	0.006286053390668231	0.006257160297154301	0.0063149464841821615
flights	BTER	5	0.006997939850295164	0.006965806345811793	0.0070300733547785385
flights	BTER	6	0.007642108932762698	0.0076055647299685435	0.007678653135556854
flights	BTER	7	0.008217958840303522	0.008179785527453255	0.008256132153153793
flights	BTER	8	0.008721891478489613	0.008688008356599103	0.008755774600380127
flights	BTER	9	0.009161689288741816	0.00912872120489222	0.009194657372591408
flights	BTER	10	0.009576200512332357	0.0095407883085468	0.00961161271611792
flights	BTER	11	0.009974194892505242	0.009936568124778437	0.010011821660232047
flights	BTER	12	0.010351483900921775	0.010314861403852717	0.010388106397990832
flights	BTER	13	0.01069227827000897	0.010655469275548038	0.010729087264469908
flights	BTER	14	0.01100599089816793	0.010969408063802913	0.01104257373253296
flights	BTER	15	0.011295758758830432	0.011255965497243182	0.011335552020417682
flights	BTER	16	0.011573144187861175	0.011531852621067887	0.011614435754654463
flights	BTER	17	0.011843322882370867	0.011800966758205567	0.011885679006536164
flights	BTER	18	0.012112224678455085	0.01206990966476348	0.01215453969214669
flights	BTER	19	0.012353731042667989	0.012310644361340483	0.012396817723995484
flights	BTER	20	0.012587770276853054	0.012543341380850023	0.012632199172856086
flights	BUGGE	1	0.026587192290952452	0.026202799567178622	0.02697158501472629
flights	BUGGE	2	0.027044674091307376	0.026691183863019833	0.02739816431959492
flights	BUGGE	3	0.026099420445503573	0.02574610590514912	0.026452734985858012
flights	BUGGE	4	0.0243896023695179	0.023711750656973153	0.025067454082062637
flights	BUGGE	5	0.0239189534296519	0.023282304453473717	0.02455560240583007
flights	BUGGE	6	0.02386339947932397	0.02325207825289385	0.02447472070575411
flights	BUGGE	7	0.02410892507892018	0.023324446380216378	0.024893403777623987
flights	BUGGE	8	0.02479726311347844	0.02430900334970885	0.025285522877248025
flights	BUGGE	9	0.024753154401419404	0.023996346609633592	0.02550996219320521
flights	BUGGE	10	0.025204691327668623	0.024594445672821777	0.02581493698251547
flights	BUGGE	11	0.025627621963510337	0.025130148563261897	0.02612509536375879
flights	BUGGE	12	0.025644212425345887	0.025052604055835526	0.026235820794856268
flights	BUGGE	13	0.02597097074319009	0.025545708420763414	0.02639623306561677
flights	BUGGE	14	0.025876691743638394	0.02536056701517459	0.02639281647210221
flights	BUGGE	15	0.026077192984048595	0.025579588827388137	0.026574797140709053
flights	BUGGE	16	0.02624500288004198	0.025864373268360077	0.02662563249172387
flights	BUGGE	17	0.026246889528310682	0.02579352070229703	0.026700258354324335
flights	BUGGE	18	0.026004631681427522	0.02551436984183708	0.02649489352101795
flights	BUGGE	19	0.026271602634609127	0.025761717645478403	0.026781487623739858
flights	BUGGE	20	0.02613285198237872	0.02556444563170721	0.02670125833305023
flights	CNRG	1	0.004877521799308487	0.0047361217523409615	0.005018921846276012
flights	CNRG	2	0.00817216933805311	0.007977769743999285	0.008366568932106935
flights	CNRG	3	0.010440095624002197	0.010253442258936056	0.010626748989068338
flights	CNRG	4	0.01216027518598022	0.011980281976242763	0.012340268395717682
flights	CNRG	5	0.013430616339383267	0.01324266203552216	0.013618570643244374
flights	CNRG	6	0.014360350969432546	0.01416303294252858	0.01455766899633651
flights	CNRG	7	0.015148796394704164	0.014948122023840674	0.015349470765567655
flights	CNRG	8	0.01568732016122142	0.015476590626236662	0.015898049696206177
flights	CNRG	9	0.016191022877578468	0.01596353923058057	0.016418506524576364
flights	CNRG	10	0.016580116524600792	0.01634738431691382	0.016812848732287757
flights	CNRG	11	0.016908867237963716	0.01666289627565006	0.017154838200277366
flights	CNRG	12	0.017219248435586806	0.016956600874330888	0.01748189599684273
flights	CNRG	13	0.017458879646069674	0.017196563639032127	0.017721195653107227
flights	CNRG	14	0.017676315480949837	0.017419393978482585	0.017933236983417103
flights	CNRG	15	0.01782830094352729	0.01754822398427469	0.0181083779027799
flights	CNRG	16	0.018017738705382688	0.017722291004929506	0.018313186405835864
flights	CNRG	17	0.018211831842769307	0.017905618757128677	0.01851804492840995
flights	CNRG	18	0.01836231013923029	0.01805413935119853	0.01867048092726206
flights	CNRG	19	0.018464874430078593	0.018150804185009826	0.018778944675147367
flights	CNRG	20	0.018641507171645602	0.01832689219443452	0.01895612214885669
flights	Chung-Lu	1	0.0019042383718853439	0.0018909889138684253	0.0019174878299022615
flights	Chung-Lu	2	0.0032732730081683737	0.003253459111547935	0.003293086904788812
flights	Chung-Lu	3	0.004473572265940297	0.004452232043543886	0.004494912488336706
flights	Chung-Lu	4	0.005504696516833774	0.005481117060504585	0.005528275973162963
flights	Chung-Lu	5	0.0064104477943623395	0.006386656948843483	0.006434238639881191
flights	Chung-Lu	6	0.007216900558498508	0.007191201830442862	0.00724259928655415
flights	Chung-Lu	7	0.007943861101980669	0.007917417404100588	0.007970304799860757
flights	Chung-Lu	8	0.008611276106779399	0.008584494329460495	0.008638057884098303
flights	Chung-Lu	9	0.009217391969223061	0.009190624385788637	0.00924415955265749
flights	Chung-Lu	10	0.009767974634627585	0.009741423705463326	0.009794525563791848
flights	Chung-Lu	11	0.010300867707975826	0.010272483255694779	0.010329252160256866
flights	Chung-Lu	12	0.010785232202258195	0.0107599759239793	0.01081048848053709
flights	Chung-Lu	13	0.011242627334996652	0.011218179051289145	0.011267075618704152
flights	Chung-Lu	14	0.01167834111156488	0.011653894275686388	0.01170278794744337
flights	Chung-Lu	15	0.012072941207850124	0.012048418326254069	0.01209746408944618
flights	Chung-Lu	16	0.012459542459623139	0.012434320790385216	0.012484764128861061
flights	Chung-Lu	17	0.01281919788167867	0.012793350781694373	0.012845044981662957
flights	Chung-Lu	18	0.013166864760142692	0.013142152943239862	0.013191576577045516
flights	Chung-Lu	19	0.01349177057966551	0.013465279251133465	0.013518261908197556
flights	Chung-Lu	20	0.013798082711362781	0.013773162776026	0.01382300264669955
flights	Erdos-Renyi	1	0.0021670210232609135	0.0020805367070458984	0.002253505339475927
flights	Erdos-Renyi	2	0.0021522230652676715	0.0020035218926528343	0.0023009242378825086
flights	Erdos-Renyi	3	0.002188616118885471	0.0020105870143013373	0.0023666452234696045
flights	Erdos-Renyi	4	0.002170870117258837	0.001972275726177103	0.0023694645083405697
flights	Erdos-Renyi	5	0.002157437533201287	0.0019477590647446748	0.002367116001657898
flights	Erdos-Renyi	6	0.002166587545836697	0.0019216412630170148	0.002411533828656378
flights	Erdos-Renyi	7	0.0021557357763897955	0.0018953301392766494	0.0024161414135029416
flights	Erdos-Renyi	8	0.0021773209206109308	0.0018963186060834962	0.0024583232351383646
flights	Erdos-Renyi	9	0.002186879674669821	0.0019122457106072253	0.0024615136387324157
flights	Erdos-Renyi	10	0.002240906853078977	0.001957696595362589	0.0025241171107953644
flights	Erdos-Renyi	11	0.002288407337232445	0.0019882858859074084	0.002588528788557482
flights	Erdos-Renyi	12	0.002314603559149989	0.002015905955202949	0.002613301163097031
flights	Erdos-Renyi	13	0.0023105630049336605	0.00201238980868389	0.0026087362011834292
flights	Erdos-Renyi	14	0.0022997544284912895	0.0019853606518293043	0.002614148205153274
flights	Erdos-Renyi	15	0.002321163774277612	0.0020006480487907625	0.0026416794997644604
flights	Erdos-Renyi	16	0.0023631133150106	0.0020232907317994835	0.0027029358982217176
flights	Erdos-Renyi	17	0.0023540757657027297	0.0020115483075205534	0.002696603223884905
flights	Erdos-Renyi	18	0.0024695747861670403	0.0021099125271514417	0.002829237045182639
flights	Erdos-Renyi	19	0.002499223851387276	0.0021464480219634007	0.00285199968081115
flights	Erdos-Renyi	20	0.002434229212163842	0.0020939711745124392	0.0027744872498152466
flights	GCN_AE	1	1.9127030785066637	1.9109726943745005	1.9144334626388273
flights	GCN_AE	2	1.9809155952777826	1.9754297207480591	1.986401469807506
flights	GCN_AE	3	1.9883758801686755	1.9830068033011379	1.993744957036214
flights	GCN_AE	4	1.9886477759812362	1.9832591194561635	1.994036432506309
flights	GCN_AE	5	1.9894962534601877	1.98424576457411	1.9947467423462648
flights	GCN_AE	6	1.9894974064042135	1.9842475064522158	1.9947473063562111
flights	GCN_AE	7	1.9894981036435493	1.9842485599334185	1.9947476473536796
flights	GCN_AE	8	1.9894983510000934	1.984248933673596	1.9947477683265917
flights	GCN_AE	9	1.9894984372237574	1.9842490639483732	1.994747810499142
flights	GCN_AE	10	1.9894984493621484	1.9842490822891832	1.9947478164351136
flights	GCN_AE	11	1.9894984488815157	1.984249081562887	1.9947478162001457
flights	GCN_AE	12	1.9894984495092478	1.9842490825113939	1.9947478165071018
flights	GCN_AE	13	1.9894984505975404	1.9842490841558111	1.99474781703927
flights	GCN_AE	14	1.9894984505447169	1.9842490840759948	1.9947478170134398
flights	GCN_AE	15	1.9894984505283413	1.9842490840512506	1.994747817005432
flights	GCN_AE	16	1.9894984506991815	1.9842490843093914	1.994747817088972
flights	GCN_AE	17	1.9894984517343672	1.9842490858735629	1.994747817595172
flights	GCN_AE	18	1.989498452267284	1.9842490866788027	1.9947478178557658
flights	GCN_AE	19	1.9894984517821055	1.9842490859456956	1.9947478176185158
flights	GCN_AE	20	1.989498452266596	1.9842490866777633	1.9947478178554294
flights	GraphRNN	1	0.10739313444764206	0.105035131488933	0.1097511374063513
flights	GraphRNN	2	0.1117379046826577	0.10798818596382789	0.11548762340148744
flights	GraphRNN	3	0.08538856110506543	0.08227779106888514	0.08849933114124572
flights	GraphRNN	4	0.07731415675870683	0.07698014358053211	0.07764816993688155
flights	GraphRNN	5	0.07243803948837303	0.07221104965515046	0.0726650293215956
flights	GraphRNN	6	0.06628764613589846	0.06609944497427712	0.0664758472975198
flights	GraphRNN	7	0.06032088641297257	0.0601459205539516	0.06049585227199354
flights	GraphRNN	8	0.05493018174966401	0.054743004077562454	0.05511735942176557
flights	GraphRNN	9	0.050609828982101736	0.050489811307260025	0.050729846656943446
flights	GraphRNN	10	0.04456200525033942	0.04442712384647175	0.04469688665420708
flights	GraphRNN	11	0.03815583007671989	0.038032967035692644	0.038278693117747134
flights	GraphRNN	12	0.03351355583325536	0.033386622395195444	0.033640489271315265
flights	GraphRNN	13	0.030447628673132474	0.03032073749612408	0.030574519850140876
flights	GraphRNN	14	0.02709372593708764	0.026959043311330203	0.02722840856284509
flights	GraphRNN	15	0.022224451788259145	0.02210134745594421	0.022347556120574073
flights	GraphRNN	16	0.018195206560523428	0.018072722331553118	0.018317690789493732
flights	GraphRNN	17	0.015106314060535437	0.014989185888641236	0.015223442232429645
flights	GraphRNN	18	0.012403356678330995	0.012301433362613119	0.01250527999404887
