dataset	model	gen	avg_clustering	ci_lower	ci_upper
tree	BTER	0	0.0	nan	nan
tree	BTER	1	0.0002159052453468697	0.00016414381323065906	0.0002676666774630804
tree	BTER	2	0.00046181613085166385	0.00036946066685519715	0.0005541715948481305
tree	BTER	3	0.0006486181613085166	0.0005155996569467478	0.0007816366656702855
tree	BTER	4	0.0008988155668358711	0.0007071830119591886	0.0010904481217125536
tree	BTER	5	0.001227749576988156	0.0009900073440771212	0.0014654918098991904
tree	BTER	6	0.001454709531866892	0.0011955575981963844	0.0017138614655374006
tree	BTER	7	0.0017635645798082342	0.0014125163136822316	0.0021146128459342372
tree	BTER	8	0.002041285956006768	0.001627805639990496	0.00245476627202304
tree	BTER	9	0.002184771573604061	0.001787591487671155	0.0025819516595369666
tree	BTER	10	0.0023221658206429787	0.0018729259142332626	0.002771405727052693
tree	BTER	11	0.0025200225606316967	0.0020067917078078557	0.0030332534134555403
tree	BTER	12	0.0028426395939086285	0.0022591763244377457	0.0034261028633795123
tree	BTER	13	0.002989283699943599	0.0023212297072148368	0.003657337692672361
tree	BTER	14	0.0034278623801466436	0.002641243286363063	0.004214481473930225
tree	BTER	15	0.0037522842639593906	0.0029299886328550137	0.004574579895063765
tree	BTER	16	0.0037570219966159054	0.0029954939913968007	0.004518550001835008
tree	BTER	17	0.004033389734912577	0.003265121198944752	0.004801658270880402
tree	BTER	18	0.0040372250423011844	0.0032381120059638536	0.004836338078638515
tree	BTER	19	0.004230344049633389	0.003242445123705642	0.005218242975561138
tree	BTER	20	0.0045696559503666115	0.0034976540979642637	0.005641657802768958
tree	BUGGE	0	0.0	nan	nan
tree	BUGGE	1	0.0	nan	nan
tree	BUGGE	2	0.0	nan	nan
tree	BUGGE	3	0.0	nan	nan
tree	BUGGE	4	0.0	nan	nan
tree	BUGGE	5	0.0	nan	nan
tree	BUGGE	6	0.0	nan	nan
tree	BUGGE	7	0.0	nan	nan
tree	BUGGE	8	0.0	nan	nan
tree	BUGGE	9	0.0	nan	nan
tree	BUGGE	10	0.0	nan	nan
tree	BUGGE	11	0.0	nan	nan
tree	BUGGE	12	0.0	nan	nan
tree	BUGGE	13	0.0	nan	nan
tree	BUGGE	14	0.0	nan	nan
tree	BUGGE	15	0.0	nan	nan
tree	BUGGE	16	0.0	nan	nan
tree	BUGGE	17	0.0	nan	nan
tree	BUGGE	18	0.0	nan	nan
tree	BUGGE	19	0.0	nan	nan
tree	BUGGE	20	0.0	nan	nan
tree	CNRG	0	0.0	nan	nan
tree	CNRG	1	0.0	nan	nan
tree	CNRG	2	0.0	nan	nan
tree	CNRG	3	0.0	nan	nan
tree	CNRG	4	0.0	nan	nan
tree	CNRG	5	0.0	nan	nan
tree	CNRG	6	0.0	nan	nan
tree	CNRG	7	0.0	nan	nan
tree	CNRG	8	0.0	nan	nan
tree	CNRG	9	0.0	nan	nan
tree	CNRG	10	0.0	nan	nan
tree	CNRG	11	0.0	nan	nan
tree	CNRG	12	0.0	nan	nan
tree	CNRG	13	0.0	nan	nan
tree	CNRG	14	0.0	nan	nan
tree	CNRG	15	0.0	nan	nan
tree	CNRG	16	0.0	nan	nan
tree	CNRG	17	0.0	nan	nan
tree	CNRG	18	0.0	nan	nan
tree	CNRG	19	0.0	nan	nan
tree	CNRG	20	0.0	nan	nan
tree	Chung-Lu	0	0.0	nan	nan
tree	Chung-Lu	1	0.00024906937394247034	0.00018588584630447024	0.00031225290158047044
tree	Chung-Lu	2	0.00021184433164128595	0.0001509928463802315	0.00027269581690234036
tree	Chung-Lu	3	0.0002589960518894529	0.00019188749063678973	0.0003261046131421161
tree	Chung-Lu	4	0.00021883812746756906	0.0001685942003034196	0.00026908205463171855
tree	Chung-Lu	5	0.0002436548223350254	0.00017579709383764027	0.0003115125508324104
tree	Chung-Lu	6	0.0002646362098138748	0.00021007666790341155	0.00031919575172433803
tree	Chung-Lu	7	0.00025696559503666106	0.00020195399412155918	0.0003119771959517628
tree	Chung-Lu	8	0.00022357586012408345	0.00017093975994950027	0.0002762119602986666
tree	Chung-Lu	9	0.00020462492949802592	0.0001556750118823352	0.00025357484711371664
tree	Chung-Lu	10	0.0002459108855047941	0.00017260614671633315	0.0003192156242932551
tree	Chung-Lu	11	0.0002314720812182741	0.00017015379640933576	0.00029279036602721247
tree	Chung-Lu	12	0.000220868584320361	0.00016032533265133062	0.0002814118359893913
tree	Chung-Lu	13	0.00018206429780033844	0.00012265437369412201	0.00024147422190655475
tree	Chung-Lu	14	0.0002754653130287648	0.00020890553614493417	0.00034202508991259547
tree	Chung-Lu	15	0.00027163000564015796	0.0002085960354063278	0.00033466397587398803
tree	Chung-Lu	16	0.00024388042865200227	0.0001890192531088363	0.0002987416041951682
tree	Chung-Lu	17	0.00026598984771573604	0.0001985099835121831	0.000333469711919289
tree	Chung-Lu	18	0.0002549351381838692	0.00020828001708673614	0.00030159025928100207
tree	Chung-Lu	19	0.0002671191012711931	0.00020932917176363659	0.0003249090307787495
tree	Chung-Lu	20	0.0002659912224326303	0.00019222710456874624	0.00033975534029651424
tree	Erdos-Renyi	0	0.0	nan	nan
tree	Erdos-Renyi	1	0.00039662696880366963	0.000290056187700565	0.0005031977499067741
tree	Erdos-Renyi	2	0.00036955738466355975	0.00025441725022701316	0.00048469751910010635
tree	Erdos-Renyi	3	0.0003964708307169719	0.000281674878234776	0.0005112667831991677
tree	Erdos-Renyi	4	0.00036219723082619624	0.0002455641420310782	0.0004788303196213143
tree	Erdos-Renyi	5	0.0004803150800611563	0.00034754361044981176	0.0006130865496725009
tree	Erdos-Renyi	6	0.0005031833044280581	0.00037298263279163983	0.0006333839760644766
tree	Erdos-Renyi	7	0.00046904909324589633	0.00033471549423612975	0.0006033826922556629
tree	Erdos-Renyi	8	0.00041165688799488595	0.00029811432687758515	0.0005251994491121867
tree	Erdos-Renyi	9	0.000425858039571708	0.00028888057429375094	0.0005628355048496651
tree	Erdos-Renyi	10	0.00040951846199431904	0.00030764868413123364	0.0005113882398574047
tree	Erdos-Renyi	11	0.0005669317934565835	0.00039704250407762557	0.0007368210828355413
tree	Erdos-Renyi	12	0.00032647994491573085	0.00022131757397193547	0.00043164231585952624
tree	Erdos-Renyi	13	0.00041199137557281813	0.0002911330049704785	0.000532849746175158
tree	Erdos-Renyi	14	0.0005637215150348768	0.00042652861414974573	0.0007009144159200081
tree	Erdos-Renyi	15	0.0003931971527611135	0.0002772483654914459	0.0005091459400307812
tree	Erdos-Renyi	16	0.0004650380285224812	0.0003316297676494254	0.000598446289395537
tree	Erdos-Renyi	17	0.00043752140737220185	0.0003055348509705108	0.0005695079637738926
tree	Erdos-Renyi	18	0.0004645916528092045	0.0003374762049542698	0.0005917071006641394
tree	Erdos-Renyi	19	0.0005665316563280891	0.00041530625697178873	0.0007177570556843895
tree	Erdos-Renyi	20	0.000517199906030208	0.00036924058024543575	0.00066515923181498
tree	GCN_AE	0	0.0	nan	nan
tree	GCN_AE	1	0.5395914891189048	0.5385143534850564	0.5406686247527531
tree	GCN_AE	2	0.9242254274023778	0.916438936808468	0.932011917996288
tree	GCN_AE	3	0.976526488486909	0.9715579781205775	0.9814949988532397
tree	GCN_AE	4	0.9925313859518691	0.988692528977626	0.9963702429261125
tree	GCN_AE	5	0.9935637464434088	0.9897872441546927	0.997340248732125
tree	GCN_AE	6	0.9940114985257612	0.9902533599218636	0.9977696371296588
tree	GCN_AE	7	0.9941749634942298	0.990483581375285	0.9978663456131751
tree	GCN_AE	8	0.9945358659807201	0.9909714793884543	0.9981002525729858
tree	GCN_AE	9	0.9948984226246214	0.9913681155346807	0.998428729714562
tree	GCN_AE	10	0.9951680652783464	0.9916489450117756	0.9986871855449175
tree	GCN_AE	11	0.9951679867520171	0.9916488753680911	0.9986870981359431
tree	GCN_AE	12	0.9952341211556194	0.991753120243494	0.9987151220677454
tree	GCN_AE	13	0.9957839212011501	0.9924277658539572	0.999140076548343
tree	GCN_AE	14	0.9957872192802768	0.9924307293008269	0.9991437092597272
tree	GCN_AE	15	0.9957872192802768	0.9924307293008269	0.9991437092597272
tree	GCN_AE	16	0.9957872192802768	0.9924307293008269	0.9991437092597272
tree	GCN_AE	17	0.9957872192802768	0.9924307293008269	0.9991437092597272
tree	GCN_AE	18	0.995786827884287	0.992430101604491	0.9991435541640834
tree	GCN_AE	19	0.9957897529091899	0.9924347885182265	0.9991447173001535
tree	GCN_AE	20	0.9957897529091899	0.9924347885182265	0.9991447173001535
tree	GraphRNN	0	0.0	nan	nan
tree	GraphRNN	1	0.0007124844938076965	0.0005620073092372912	0.0008629616783781019
tree	GraphRNN	2	0.002488845313437038	0.001345313992647381	0.003632376634226695
tree	GraphRNN	3	0.135241472475515	nan	nan
tree	GraphRNN	4	0.06587542087542088	0.024694775354480197	0.10705606639636153
tree	GraphRNN	5	0.06312698412698411	0.015729852774518036	0.11052411547945022
tree	GraphRNN	6	0.11693650793650791	0.06234128243171592	0.17153173344129996
tree	GraphRNN	7	0.2003968253968254	0.11419779698891654	0.28659585380473424
tree	GraphRNN	8	0.2129206349206349	0.13895006577826172	0.28689120406300805
tree	GraphRNN	9	0.2791111111111111	0.19389111164796924	0.36433111057425294
tree	GraphRNN	10	0.39966666666666667	0.3085323946278341	0.49080093870549923
tree	GraphRNN	11	0.4246666666666667	0.33497243030849444	0.5143609030248388
tree	GraphRNN	12	0.5286904761904762	0.4530139475569466	0.6043670048240057
tree	GraphRNN	13	0.485111111111111	0.3990724840519391	0.571149738170283
tree	GraphRNN	14	0.5175079365079365	0.43656844863794814	0.598447424377925
tree	GraphRNN	15	0.5281984126984127	0.43228233865133314	0.6241144867454923
tree	GraphRNN	16	0.35979365079365083	0.2786857857820584	0.4409015158052433
tree	GraphRNN	17	0.438063492063492	0.34076923965501466	0.5353577444719695
