dataset	model	gen	pagerank_js	ci_lower	ci_upper
tree	BTER	1	0.7948816189032623	0.7893308575713726	0.8004323802351517
tree	BTER	2	0.8039218314266582	0.797625456881275	0.810218205972041
tree	BTER	3	0.814624470651359	0.8082741333859855	0.8209748079167329
tree	BTER	4	0.8097447044865679	0.803585335611479	0.8159040733616567
tree	BTER	5	0.8149021466421869	0.8087693418490496	0.8210349514353243
tree	BTER	6	0.8204089958610274	0.8140933562722775	0.8267246354497767
tree	BTER	7	0.8137221443059278	0.8072334611884658	0.8202108274233898
tree	BTER	8	0.8173863706458249	0.8110348417618103	0.8237378995298392
tree	BTER	9	0.8191299681498115	0.8127655500988791	0.8254943862007438
tree	BTER	10	0.8195635476657412	0.8133857096131846	0.8257413857182972
tree	BTER	11	0.8217714852044914	0.8161374259489036	0.8274055444600801
tree	BTER	12	0.8207120803858529	0.8140381892073054	0.8273859715644005
tree	BTER	13	0.8171556865220221	0.8114745125651907	0.8228368604788535
tree	BTER	14	0.8211251243542652	0.8152101238779279	0.8270401248306023
tree	BTER	15	0.8228615155983284	0.8161519407897548	0.829571090406902
tree	BTER	16	0.8249753027692651	0.8187235250760658	0.8312270804624642
tree	BTER	17	0.8139247344063071	0.8080364969923662	0.8198129718202479
tree	BTER	18	0.8173950758980638	0.8109266269601003	0.8238635248360278
tree	BTER	19	0.8172447162978744	0.8111121021942661	0.8233773304014825
tree	BTER	20	0.8180881387429476	0.8111499107318629	0.8250263667540318
tree	BUGGE	1	0.45689030349716353	0.4369429074557363	0.4768376995385911
tree	BUGGE	2	0.4813470073665084	0.46187778211028746	0.5008162326227295
tree	BUGGE	3	0.4862235999918528	0.46649428367957313	0.5059529163041324
tree	BUGGE	4	0.5079627986961213	0.4850370905788639	0.5308885068133786
tree	BUGGE	5	0.529949563791104	0.5074824634182147	0.5524166641639934
tree	BUGGE	6	0.5012369656215491	0.48305786593376004	0.519416065309338
tree	BUGGE	7	0.5150339209201935	0.49431102728358683	0.5357568145568
