dataset	model	gen	pgd_rgfd	ci_lower	ci_upper
tree	BTER	1	5.416284640949254e-06	4.406087510189253e-06	6.426481771709255e-06
tree	BTER	2	1.1210504492306828e-05	9.662860262591658e-06	1.2758148722022001e-05
tree	BTER	3	1.689624214881089e-05	1.5087908145343976e-05	1.8704576152277803e-05
tree	BTER	4	2.2582190069406616e-05	2.0482997833960212e-05	2.4681382304853014e-05
tree	BTER	5	2.815983684221331e-05	2.5617712533181284e-05	3.070196115124533e-05
tree	BTER	6	3.357259090108874e-05	3.0871601139865455e-05	3.627358066231202e-05
tree	BTER	7	3.915001773380978e-05	3.648881089892234e-05	4.181122456869722e-05
tree	BTER	8	4.4181091402052806e-05	4.133616885053599e-05	4.7026013953569637e-05
tree	BTER	9	4.921105575686009e-05	4.6063205746790315e-05	5.235890576692987e-05
tree	BTER	10	5.5554103372725246e-05	5.2226072437675546e-05	5.888213430777496e-05
tree	BTER	11	6.091292757262998e-05	5.682526104143829e-05	6.500059410382165e-05
tree	BTER	12	6.60525773484143e-05	6.181602255070724e-05	7.028913214612139e-05
tree	BTER	13	7.080950139764609e-05	6.665215315530616e-05	7.496684963998608e-05
tree	BTER	14	7.600369312777624e-05	7.160264808071942e-05	8.040473817483307e-05
tree	BTER	15	8.147242493136735e-05	7.689304118465879e-05	8.605180867807589e-05
tree	BTER	16	8.617514862192147e-05	8.138494347539042e-05	9.096535376845253e-05
tree	BTER	17	9.093167149498246e-05	8.619910244220033e-05	9.56642405477646e-05
tree	BTER	18	9.618124241833168e-05	9.120540542904466e-05	0.00010115707940761882
tree	BTER	19	0.00010088400457351131	9.581365729947471e-05	0.0001059543518475479
tree	BTER	20	0.00010591461763629267	0.00010073201593772309	0.00011109721933486225
tree	BUGGE	1	7.951436787181477e-06	7.769422188461303e-06	8.133451385901652e-06
tree	BUGGE	2	8.752094995238335e-06	8.575298726565628e-06	8.928891263911039e-06
tree	BUGGE	3	9.409895016443927e-06	9.236696625582046e-06	9.583093407305812e-06
tree	BUGGE	4	1.017635865757811e-05	1.0010322366850117e-05	1.0342394948306102e-05
tree	BUGGE	5	1.0689783173690554e-05	1.0490451112404147e-05	1.0889115234976968e-05
tree	BUGGE	6	1.1115497316197132e-05	1.0931462823130848e-05	1.129953180926342e-05
tree	BUGGE	7	1.1372576323747234e-05	1.1124632282974257e-05	1.16205203645202e-05
tree	BUGGE	8	1.1740388053633297e-05	1.1536692451038882e-05	1.1944083656227712e-05
