model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BTER	0	0.0682	0.0663583	0.0700417	0.0682	0.0663583	0.0700417
BTER	1	0.0748	0.0719686	0.0776314	0.0596	0.0550718	0.0641282
BTER	2	0.0812	0.0756889	0.0867111	0.0606	0.0577415	0.0634585
BTER	3	0.0876	0.0842452	0.0909548	0.0602	0.0557751	0.0646249
BTER	4	0.0896	0.084587	0.094613	0.0542	0.0521597	0.0562403
BTER	5	0.0946	0.0901577	0.0990423	0.0548	0.0524116	0.0571884
BTER	6	0.0974	0.0912792	0.103521	0.05	0.0465996	0.0534004
BTER	7	0.1032	0.100812	0.105588	0.0522	0.048986	0.055414
BTER	8	0.1044	0.100513	0.108287	0.047	0.0422719	0.0517281
BTER	9	0.1046	0.100426	0.108774	0.0462	0.0402194	0.0521806
BTER	10	0.108	0.106479	0.109521	0.0462	0.0399669	0.0524331
BTER	11	0.1112	0.108812	0.113588	0.0456	0.0420228	0.0491772
BTER	12	0.1134	0.111144	0.115656	0.0424	0.0384151	0.0463849
BTER	13	0.1156	0.112483	0.118717	0.0386	0.0334355	0.0437645
BTER	14	0.1192	0.115333	0.123067	0.0404	0.0362261	0.0445739
BTER	15	0.123	0.118882	0.127118	0.039	0.036366	0.041634
BTER	16	0.1256	0.12288	0.12832	0.0398	0.0375788	0.0420212
BTER	17	0.1278	0.123204	0.132396	0.0378	0.0351081	0.0404919
BTER	18	0.1302	0.127108	0.133292	0.0354	0.0305432	0.0402568
BTER	19	0.1342	0.130986	0.137414	0.0354	0.0324097	0.0383903
