model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GraphRNN	1	0.4072500	0.2827334	0.5317666	0.4072500	0.2827334	0.5317666
GraphRNN	2	0.3974167	0.2725298	0.5223036	0.4499167	0.3334781	0.5663552
GraphRNN	3	0.3964167	0.2523265	0.5405068	0.4390833	0.3360343	0.5421324
GraphRNN	4	0.4101667	0.2783694	0.5419640	0.3584167	0.2505036	0.4663297
GraphRNN	5	0.3872500	0.2719808	0.5025192	0.3569167	0.1783318	0.5355016
GraphRNN	6	0.3624167	0.2602780	0.4645553	0.3005000	0.1833178	0.4176822
GraphRNN	7	0.4011667	0.2401393	0.5621940	0.4485000	0.3290076	0.5679924
GraphRNN	8	0.3282500	0.1789365	0.4775635	0.2985000	0.1469265	0.4500735
GraphRNN	9	0.4558333	0.3308691	0.5807976	0.3178333	0.1947153	0.4409514
GraphRNN	10	0.3835833	0.2096590	0.5575077	0.4660833	0.3019941	0.6301726
GraphRNN	11	0.4541667	0.3027011	0.6056322	0.4006667	0.2294007	0.5719326
GraphRNN	12	0.4172500	0.2464439	0.5880561	0.4295000	0.2704252	0.5885748
GraphRNN	13	0.2939167	0.1473044	0.4405289	0.4184167	0.2496725	0.5871608
GraphRNN	14	0.5703333	0.4025410	0.7381257	0.4703333	0.2963900	0.6442766
GraphRNN	15	0.3941667	0.2557163	0.5326171	0.4274167	0.2585547	0.5962787
GraphRNN	16	0.4325000	0.3050263	0.5599737	0.3835833	0.2631567	0.5040100
GraphRNN	17	0.4042500	0.2970409	0.5114591	0.2803333	0.1814647	0.3792020
GraphRNN	18	0.4499167	0.2984883	0.6013450	0.4095833	0.2770057	0.5421610
GraphRNN	19	0.4164167	0.2711212	0.5617121	0.4368333	0.2788198	0.5948469
GraphRNN	20	0.4594167	0.2846377	0.6341956	0.4534167	0.3120118	0.5948215
GraphRNN	21	0.4265000	0.2527171	0.6002829	0.3636667	0.2490346	0.4782987
GraphRNN	22	0.3571667	0.2391887	0.4751446	0.3049167	0.1661484	0.4436849
GraphRNN	23	0.5146667	0.3593533	0.6699801	0.4032500	0.2430145	0.5634855
GraphRNN	24	0.3908333	0.2512849	0.5303818	0.4318333	0.3292371	0.5344296
GraphRNN	25	0.4574167	0.2793683	0.6354650	0.4827500	0.3598795	0.6056205
GraphRNN	26	0.4044167	0.2577261	0.5511073	0.3995833	0.2282927	0.5708740
GraphRNN	27	0.4288333	0.2658539	0.5918127	0.3721667	0.2432056	0.5011277
GraphRNN	28	0.3931667	0.2497645	0.5365689	0.2646667	0.1688924	0.3604409
GraphRNN	29	0.4478333	0.2817165	0.6139501	0.3441667	0.2346205	0.4537128
GraphRNN	30	0.4711667	0.3188485	0.6234849	0.3925833	0.2631335	0.5220331
GraphRNN	31	0.3276667	0.1825859	0.4727475	0.4710833	0.3088802	0.6332864
GraphRNN	32	0.4330000	0.2980789	0.5679211	0.4598333	0.3139019	0.6057648
GraphRNN	33	0.4115833	0.2425999	0.5805668	0.3997500	0.2792735	0.5202265
GraphRNN	34	0.4088333	0.2506025	0.5670641	0.3513333	0.2267195	0.4759472
GraphRNN	35	0.5110833	0.3517511	0.6704156	0.4706667	0.3259681	0.6153653
GraphRNN	36	0.4485833	0.2783067	0.6188599	0.3465000	0.2228953	0.4701047
GraphRNN	37	0.4305000	0.2291607	0.6318393	0.3464167	0.1961187	0.4967146
GraphRNN	38	0.4450833	0.2430967	0.6470699	0.3180833	0.1637808	0.4723859
GraphRNN	39	0.5378333	0.3550895	0.7205771	0.4479167	0.2749249	0.6209084
GraphRNN	40	0.4278333	0.3345392	0.5211274	0.4212500	0.2426251	0.5998749
GraphRNN	41	0.5400833	0.3878696	0.6922971	0.3740000	0.2251691	0.5228309
GraphRNN	42	0.5228333	0.3525502	0.6931165	0.3576667	0.2390489	0.4762844
GraphRNN	43	0.4933333	0.3442259	0.6424408	0.4245833	0.2878688	0.5612979
GraphRNN	44	0.3675833	0.2289722	0.5061944	0.3290833	0.2308903	0.4272764
GraphRNN	45	0.4251667	0.2351609	0.6151724	0.3719167	0.2299263	0.5139071
GraphRNN	46	0.4641667	0.3307641	0.5975692	0.4635833	0.3281349	0.5990317
GraphRNN	47	0.4855000	0.3533566	0.6176434	0.4371667	0.2861403	0.5881930
GraphRNN	48	0.2845000	0.1584882	0.4105118	0.4113333	0.2649844	0.5576823
GraphRNN	49	0.4211667	0.2881402	0.5541932	0.4491667	0.3238472	0.5744861
