model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Chung-Lu	1	0.1685400	0.1663732	0.1707068	0.1685400	0.1663732	0.1707068
Chung-Lu	2	0.1897000	0.1866785	0.1927215	0.1667200	0.1633849	0.1700551
Chung-Lu	3	0.2051600	0.2027834	0.2075366	0.1586400	0.1557271	0.1615529
Chung-Lu	4	0.2169600	0.2151191	0.2188009	0.1542800	0.1511462	0.1574138
Chung-Lu	5	0.2291800	0.2245099	0.2338501	0.1545800	0.1481634	0.1609966
Chung-Lu	6	0.2403000	0.2359329	0.2446671	0.1446800	0.1414747	0.1478853
Chung-Lu	7	0.2540600	0.2480377	0.2600823	0.1374600	0.1310519	0.1438681
Chung-Lu	8	0.2688400	0.2635641	0.2741159	0.1316400	0.1292854	0.1339946
Chung-Lu	9	0.2787600	0.2735685	0.2839515	0.1286200	0.1257082	0.1315318
Chung-Lu	10	0.2892000	0.2843887	0.2940113	0.1225000	0.1187784	0.1262216
Chung-Lu	11	0.3008600	0.2962452	0.3054748	0.1192000	0.1164398	0.1219602
Chung-Lu	12	0.3094200	0.3048522	0.3139878	0.1142600	0.1105236	0.1179964
Chung-Lu	13	0.3190000	0.3144416	0.3235584	0.1102400	0.1071945	0.1132855
Chung-Lu	14	0.3298800	0.3251983	0.3345617	0.1067000	0.1033801	0.1100199
Chung-Lu	15	0.3391600	0.3348582	0.3434618	0.0989800	0.0958750	0.1020850
Chung-Lu	16	0.3499600	0.3458750	0.3540450	0.0955200	0.0921695	0.0988705
Chung-Lu	17	0.3591200	0.3552643	0.3629757	0.0926200	0.0896800	0.0955600
Chung-Lu	18	0.3694200	0.3653738	0.3734662	0.0922200	0.0892552	0.0951848
Chung-Lu	19	0.3780600	0.3743816	0.3817384	0.0879800	0.0849038	0.0910562
Chung-Lu	20	0.3865800	0.3828268	0.3903332	0.0855800	0.0828918	0.0882682
