model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Deep_GCN_AE	1	0.7264600	0.7165143	0.7364057	0.7264600	0.7165143	0.7364057
Deep_GCN_AE	2	0.8488800	0.8379453	0.8598147	0.9610800	0.9334183	0.9887417
Deep_GCN_AE	3	0.8471200	0.8413716	0.8528684	0.4680000	0.3516981	0.5843019
Deep_GCN_AE	4	0.8456600	0.8375847	0.8537353	0.0298200	-0.0121447	0.0717847
Deep_GCN_AE	5	0.8471800	0.8421533	0.8522067	0.0178800	-0.0180512	0.0538112
Deep_GCN_AE	6	0.8480200	0.8446733	0.8513667	0.0166400	-0.0167993	0.0500793
Deep_GCN_AE	7	0.8479400	0.8444336	0.8514464	0.0090200	-0.0091064	0.0271464
Deep_GCN_AE	8	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	9	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	10	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	11	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	12	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	13	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	14	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	15	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	16	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	17	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	18	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	19	0.8479400	0.8444336	0.8514464	0.0000000		
Deep_GCN_AE	20	0.8479400	0.8444336	0.8514464	0.0000000		
