model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GCN_AE	1	0.7089000	0.6922210	0.7255790	0.7089000	0.6922210	0.7255790
GCN_AE	2	0.6524000	0.6334996	0.6713004	0.5912600	0.5378763	0.6446437
GCN_AE	3	0.6828600	0.6524573	0.7132627	0.5688400	0.4962357	0.6414443
GCN_AE	4	0.6956000	0.6666626	0.7245374	0.3924600	0.3187199	0.4662001
GCN_AE	5	0.7344600	0.7051657	0.7637543	0.5210800	0.4227776	0.6193824
GCN_AE	6	0.7615400	0.7354861	0.7875939	0.4387800	0.3255320	0.5520280
GCN_AE	7	0.7930800	0.7754082	0.8107518	0.4689200	0.3479945	0.5898455
GCN_AE	8	0.8038800	0.7893762	0.8183838	0.3087600	0.1933393	0.4241807
GCN_AE	9	0.8026400	0.7882276	0.8170524	0.1597600	0.0712160	0.2483040
GCN_AE	10	0.8040400	0.7895304	0.8185496	0.0689200	0.0016076	0.1362324
GCN_AE	11	0.8039000	0.7902235	0.8175765	0.0345800	-0.0140618	0.0832218
GCN_AE	12	0.8053600	0.7915093	0.8192107	0.0305800	-0.0125681	0.0737281
GCN_AE	13	0.8069800	0.7930413	0.8209187	0.0279200	-0.0113512	0.0671912
GCN_AE	14	0.8068200	0.7927674	0.8208726	0.0123000	-0.0124178	0.0370178
GCN_AE	15	0.8072000	0.7934073	0.8209927	0.0144600	-0.0145985	0.0435185
GCN_AE	16	0.8083800	0.7951434	0.8216166	0.0176200	-0.0177887	0.0530287
GCN_AE	17	0.8082800	0.7950118	0.8215482	0.0088400	-0.0089246	0.0266046
GCN_AE	18	0.8082800	0.7950118	0.8215482	0.0000000		
GCN_AE	19	0.8082800	0.7950118	0.8215482	0.0000000		
GCN_AE	20	0.8082800	0.7950118	0.8215482	0.0000000		
