model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GraphRNN	1	0.1890000	-0.0270055	0.4050055	0.1890000	-0.0270055	0.4050055
GraphRNN	2	0.2160000	-0.2033048	0.6353048	0.2090000	0.1327628	0.2852372
GraphRNN	3	0.2295000	0.0960849	0.3629151	0.2460000	nan	nan
GraphRNN	4	0.2420000	-0.2027172	0.6867172	0.2395000	0.0679662	0.4110338
GraphRNN	5	0.2060000	0.0408193	0.3711807	0.2360000	-0.2214234	0.6934234
GraphRNN	6	0.2055000	0.1991469	0.2118531	0.2060000	0.1424690	0.2695310
GraphRNN	7	0.2155000	0.2091469	0.2218531	0.1845000	0.1527345	0.2162655
GraphRNN	8	0.2120000	-0.2581296	0.6821296	0.2080000	0.1952938	0.2207062
GraphRNN	9	0.2115000	-0.1633330	0.5863330	0.2195000	-0.1680392	0.6070392
GraphRNN	10	0.2230000	0.0451131	0.4008869	0.2100000	0.0194069	0.4005931
GraphRNN	11	0.2400000	0.0875255	0.3924745	0.2265000	-0.0212710	0.4742710
GraphRNN	12	0.2075000	-0.1927454	0.6077454	0.2045000	0.1346159	0.2743841
GraphRNN	13	0.2240000	0.2112938	0.2367062	0.2205000	0.2014407	0.2395593
GraphRNN	14	0.1995000	-0.1499206	0.5489206	0.2220000	0.0059945	0.4380055
GraphRNN	15	0.2365000	0.2047345	0.2682655	0.2575000	0.2003221	0.3146779
GraphRNN	16	0.2250000	-0.1053613	0.5553613	0.2405000	-0.1470392	0.6280392
GraphRNN	17	0.2290000	0.0129945	0.4450055	0.2520000	-0.1418923	0.6458923
GraphRNN	18	0.2230000	-0.0565365	0.5025365	0.2220000	-0.0956551	0.5396551
GraphRNN	19	0.2120000	0.1484690	0.2755310	0.2285000	-0.1717454	0.6287454
GraphRNN	20	0.2320000	0.0414069	0.4225931	0.2425000	-0.3483385	0.8333385
GraphRNN	21	0.2320000	-0.1873048	0.6513048	0.2030000	-0.0638303	0.4698303
GraphRNN	22	0.2450000	-0.0091241	0.4991241	0.1995000	-0.0482710	0.4472710
GraphRNN	23	0.2305000	-0.0045648	0.4655648	0.2055000	0.1864407	0.2245593
GraphRNN	24	0.2015000	0.0299662	0.3730338	0.2120000	0.1992938	0.2247062
GraphRNN	25	0.2240000	0.0842317	0.3637683	0.2090000	0.1073504	0.3106496
GraphRNN	26	0.2170000	-0.0498303	0.4838303	0.2300000	nan	nan
GraphRNN	27	0.2035000	-0.2475703	0.6545703	0.1960000	0.0308193	0.3611807
GraphRNN	28	0.2295000	0.1087911	0.3502089	0.2110000	-0.0939489	0.5159489
GraphRNN	29	0.2175000	0.1603221	0.2746779	0.2365000	-0.1637454	0.6367454
GraphRNN	30	0.2200000	0.1183504	0.3216496	0.2320000	0.1938814	0.2701186
GraphRNN	31	0.2425000	-0.0052710	0.4902710	0.1930000	0.1675876	0.2184124
GraphRNN	32	0.2015000	-0.0462710	0.4492710	0.2130000	0.0732317	0.3527683
GraphRNN	33	0.2060000	0.1297628	0.2822372	0.1990000	0.0465255	0.3514745
GraphRNN	34	0.2205000	-0.1162144	0.5572144	0.2385000	0.0669662	0.4100338
GraphRNN	35	0.2210000	-0.0966551	0.5386551	0.2225000	-0.2412765	0.6862765
GraphRNN	36	0.2090000	0.0311131	0.3868869	0.2100000	-0.2093048	0.6293048
GraphRNN	37	0.2440000	0.0152883	0.4727117	0.2235000	0.2171469	0.2298531
GraphRNN	38	0.2235000	0.1409097	0.3060903	0.2400000	-0.1538923	0.6338923
GraphRNN	39	0.2245000	0.1419097	0.3070903	0.2015000	-0.1860392	0.5890392
GraphRNN	40	0.2160000	0.0889380	0.3430620	0.1995000	0.0787911	0.3202089
GraphRNN	41	0.2165000	-0.0820958	0.5150958	0.2260000	0.0481131	0.4038869
GraphRNN	42	0.2210000	-0.4016040	0.8436040	0.2365000	0.0014352	0.4715648
GraphRNN	43	0.2145000	-0.2873951	0.7163951	0.1860000	-0.0681241	0.4401241
GraphRNN	44	0.2255000	-0.2001579	0.6511579	0.2195000	0.1750283	0.2639717
GraphRNN	45	0.2305000	0.0589662	0.4020338	0.2120000	0.0087007	0.4152993
GraphRNN	46	0.2120000	-0.1564799	0.5804799	0.2220000	-0.1083613	0.5523613
GraphRNN	47	0.2235000	0.0900849	0.3569151	0.2110000	0.0331131	0.3888869
GraphRNN	48	0.2060000	-0.3530730	0.7650730	0.2305000	0.0716724	0.3893276
GraphRNN	49	0.2285000	-0.0065648	0.4635648	0.2080000	0.1698814	0.2461186
