model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Linear_VAE	1	0.7343000	0.7267508	0.7418492	0.7341000	0.7265406	0.7416594
Linear_VAE	2	0.6754200	0.6717895	0.6790505	0.5626600	0.5558343	0.5694857
Linear_VAE	3	0.6769400	0.6721563	0.6817237	0.4972000	0.4801761	0.5142239
Linear_VAE	4	0.6962200	0.6854699	0.7069701	0.6578000	0.6282096	0.6873904
Linear_VAE	5	0.7822000	0.7627181	0.8016819	0.8421000	0.7981299	0.8860701
Linear_VAE	6	0.8419600	0.8340205	0.8498995	0.6726600	0.5452496	0.8000704
Linear_VAE	7	0.8430000	0.8366811	0.8493189	0.1255800	0.0354194	0.2157406
Linear_VAE	8	0.8432800	0.8372839	0.8492761	0.0128200	-0.0129428	0.0385828
Linear_VAE	9	0.8438600	0.8384072	0.8493128	0.0193200	-0.0195050	0.0581450
Linear_VAE	10	0.8449800	0.8399393	0.8500207	0.0197400	-0.0199290	0.0594090
Linear_VAE	11	0.8449800	0.8399393	0.8500207	0.0000000	nan	nan
Linear_VAE	12	0.8449800	0.8399393	0.8500207	0.0000000	nan	nan
Linear_VAE	13	0.8449800	0.8399393	0.8500207	0.0000000	nan	nan
Linear_VAE	14	0.8449800	0.8399393	0.8500207	0.0000000	nan	nan
Linear_VAE	15	0.8449800	0.8399393	0.8500207	0.0000000	nan	nan
Linear_VAE	16	0.8449800	0.8399393	0.8500207	0.0000000	nan	nan
Linear_VAE	17	0.8449800	0.8399393	0.8500207	0.0000000	nan	nan
Linear_VAE	18	0.8449800	0.8399393	0.8500207	0.0000000	nan	nan
Linear_VAE	19	0.8449800	0.8399393	0.8500207	0.0000000	nan	nan
Linear_VAE	20	0.8449800	0.8399393	0.8500207	0.0000000	nan	nan
