model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
CNRG	1	0.1061000	0.1042914	0.1079086	0.1061000	0.1042914	0.1079086
CNRG	2	0.1207600	0.1189177	0.1226023	0.1000400	0.0980921	0.1019879
CNRG	3	0.1359400	0.1343808	0.1374992	0.0927200	0.0910313	0.0944087
CNRG	4	0.1496800	0.1477745	0.1515855	0.0916400	0.0898047	0.0934753
CNRG	5	0.1669200	0.1645738	0.1692662	0.0881400	0.0859703	0.0903097
CNRG	6	0.1840000	0.1809607	0.1870393	0.0858400	0.0838994	0.0877806
CNRG	7	0.2013800	0.1982164	0.2045436	0.0832000	0.0812521	0.0851479
CNRG	8	0.2179200	0.2143188	0.2215212	0.0815600	0.0789698	0.0841502
CNRG	9	0.2335800	0.2294332	0.2377268	0.0791000	0.0767598	0.0814402
CNRG	10	0.2491800	0.2443065	0.2540535	0.0764800	0.0746087	0.0783513
CNRG	11	0.2668600	0.2613093	0.2724107	0.0746400	0.0724298	0.0768502
CNRG	12	0.2844400	0.2784356	0.2904444	0.0756800	0.0729059	0.0784541
CNRG	13	0.3024600	0.2963484	0.3085716	0.0762600	0.0740693	0.0784507
CNRG	14	0.3240800	0.3173434	0.3308166	0.0775800	0.0748998	0.0802602
CNRG	15	0.3463200	0.3387800	0.3538600	0.0785800	0.0759239	0.0812361
CNRG	16	0.3686200	0.3607182	0.3765218	0.0774400	0.0738653	0.0810147
CNRG	17	0.3938000	0.3856118	0.4019882	0.0799600	0.0767725	0.0831475
CNRG	18	0.4164000	0.4084601	0.4243399	0.0793200	0.0759162	0.0827238
CNRG	19	0.4396800	0.4314730	0.4478870	0.0775400	0.0736049	0.0814751
CNRG	20	0.4626000	0.4540482	0.4711518	0.0796200	0.0766113	0.0826287
