model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GraphRNN	1	0.1541667	0.0635488	0.2447845	0.1540000	0.0636705	0.2443295
GraphRNN	2	0.1390000	0.0762371	0.2017629	0.1758333	0.0567579	0.2949088
GraphRNN	3	0.1505000	0.0446271	0.2563729	0.1600000	0.0508042	0.2691958
GraphRNN	4	0.1735000	0.0044311	0.3425689	0.2088333	0.0009048	0.4167619
GraphRNN	5	0.1400000	0.0796232	0.2003768	0.2168333	0.0493118	0.3843548
GraphRNN	6	0.1781667	0.0440680	0.3122654	0.1770000	0.0721761	0.2818239
GraphRNN	7	0.1210000	0.0506174	0.1913826	0.1958333	0.0613885	0.3302781
GraphRNN	8	0.1660000	0.0645114	0.2674886	0.1165000	0.0782697	0.1547303
GraphRNN	9	0.1471667	0.0640837	0.2302497	0.1161667	0.0637099	0.1686234
GraphRNN	10	0.1666667	0.0810140	0.2523193	0.1146667	0.0689630	0.1603704
GraphRNN	11	0.1810000	0.1038026	0.2581974	0.1823333	0.0955997	0.2690669
GraphRNN	12	0.1261667	0.0466740	0.2056594	0.1283333	0.0896681	0.1669985
GraphRNN	13	0.1678333	0.0961409	0.2395257	0.1466667	0.1186511	0.1746822
GraphRNN	14	0.1520000	0.0882586	0.2157414	0.1466667	0.0827297	0.2106036
GraphRNN	15	0.1513333	0.0691426	0.2335241	0.1388333	0.0765657	0.2011009
GraphRNN	16	0.1220000	0.0732854	0.1707146	0.1445000	0.0440021	0.2449979
GraphRNN	17	0.1553333	0.0958842	0.2147824	0.1378333	0.0681508	0.2075159
GraphRNN	18	0.1175000	0.0657947	0.1692053	0.1495000	0.0690616	0.2299384
GraphRNN	19	0.1505000	0.0677482	0.2332518	0.1775000	0.0944373	0.2605627
GraphRNN	20	0.1720000	0.0703249	0.2736751	0.1028333	0.0656625	0.1400042
GraphRNN	21	0.1481667	0.1083577	0.1879757	0.1878333	0.0726276	0.3030390
GraphRNN	22	0.1736667	0.0708998	0.2764335	0.1393333	0.0365301	0.2421366
GraphRNN	23	0.1201667	0.0963427	0.1439906	0.1315000	0.0376503	0.2253497
GraphRNN	24	0.1326667	0.0858394	0.1794939	0.1095000	0.0760182	0.1429818
GraphRNN	25	0.1606667	0.0939382	0.2273952	0.2023333	0.1168223	0.2878444
GraphRNN	26	0.1516667	0.0853023	0.2180311	0.1238333	0.0613010	0.1863657
GraphRNN	27	0.1423333	0.0749316	0.2097351	0.1120000	0.0729644	0.1510356
GraphRNN	28	0.1460000	0.0963982	0.1956018	0.0970000	0.0779707	0.1160293
GraphRNN	29	0.1981667	0.0968444	0.2994889	0.1726667	0.0962877	0.2490456
GraphRNN	30	0.1471667	0.1152361	0.1790972	0.1636667	0.0394024	0.2879310
GraphRNN	31	0.1341667	0.0737082	0.1946252	0.1091667	0.0769203	0.1414130
GraphRNN	32	0.1231667	0.0567500	0.1895833	0.1460000	0.0627989	0.2292011
GraphRNN	33	0.1871667	0.1242621	0.2500713	0.1655000	0.0894561	0.2415439
GraphRNN	34	0.2213333	0.0862866	0.3563801	0.1745000	0.0075655	0.3414345
GraphRNN	35	0.1873333	0.0986733	0.2759934	0.2271667	0.0243866	0.4299468
GraphRNN	36	0.1645000	0.0580855	0.2709145	0.1941667	0.0463170	0.3420163
GraphRNN	37	0.1580000	0.1070143	0.2089857	0.1366667	0.0302088	0.2431245
GraphRNN	38	0.1508333	0.0731087	0.2285580	0.1358333	0.0134934	0.2581733
GraphRNN	39	0.1521667	0.0865541	0.2177792	0.1671667	0.0316237	0.3027096
GraphRNN	40	0.1191667	0.0866686	0.1516647	0.1408333	0.0619247	0.2197420
GraphRNN	41	0.1166667	0.0824373	0.1508961	0.1045000	0.0708673	0.1381327
GraphRNN	42	0.1571667	0.0752423	0.2390910	0.1418333	0.0386136	0.2450530
GraphRNN	43	0.1535000	0.0742145	0.2327855	0.1148333	0.0437209	0.1859458
GraphRNN	44	0.0996667	0.0641860	0.1351473	0.1321667	0.0479514	0.2163819
GraphRNN	45	0.1261667	0.0652075	0.1871258	0.1123333	0.0346534	0.1900133
GraphRNN	46	0.1120000	0.0892004	0.1347996	0.1336667	0.0719382	0.1953951
GraphRNN	47	0.1323333	0.1091727	0.1554939	0.1368333	0.0796977	0.1939690
GraphRNN	48	0.1341667	0.0825822	0.1857512	0.1470000	0.0572822	0.2367178
GraphRNN	49	0.1731667	0.0884013	0.2579320	0.1565000	0.0887134	0.2242866
