model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BUGGE	1	0.3158200	0.3142553	0.3173847	0.3158200	0.3142553	0.3173847
BUGGE	2	0.3264200	0.3247196	0.3281204	0.0694400	0.0672755	0.0716045
BUGGE	3	0.3448600	0.3429766	0.3467434	0.0548800	0.0530719	0.0566881
BUGGE	4	0.3613800	0.3594372	0.3633228	0.0479200	0.0453198	0.0505202
BUGGE	5	0.3778200	0.3758189	0.3798211	0.0486000	0.0464959	0.0507041
BUGGE	6	0.3914800	0.3893384	0.3936216	0.0446400	0.0420260	0.0472540
BUGGE	7	0.4017000	0.3995933	0.4038067	0.0414600	0.0395460	0.0433740
BUGGE	8	0.4098800	0.4077075	0.4120525	0.0419000	0.0397615	0.0440385
BUGGE	9	0.4188600	0.4167866	0.4209334	0.0398600	0.0375115	0.0422085
BUGGE	10	0.4255800	0.4235177	0.4276423	0.0391600	0.0371403	0.0411797
BUGGE	11	0.4289400	0.4265351	0.4313449	0.0382800	0.0363550	0.0402050
BUGGE	12	0.4340400	0.4317333	0.4363467	0.0401800	0.0380212	0.0423388
BUGGE	13	0.4374800	0.4353819	0.4395781	0.0390400	0.0369794	0.0411006
BUGGE	14	0.4414600	0.4391632	0.4437568	0.0393200	0.0372344	0.0414056
BUGGE	15	0.4429800	0.4407656	0.4451944	0.0408800	0.0371800	0.0445800
BUGGE	16	0.4462600	0.4439492	0.4485708	0.0402400	0.0368221	0.0436579
BUGGE	17	0.4477000	0.4454598	0.4499402	0.0445600	0.0403678	0.0487522
BUGGE	18	0.4499400	0.4475051	0.4523749	0.0431600	0.0392236	0.0470964
BUGGE	19	0.4499600	0.4476427	0.4522773	0.0407200	0.0382712	0.0431688
BUGGE	20	0.4512800	0.4488753	0.4536847	0.0406800	0.0384054	0.0429546
