model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BTER	1	0.0644200	0.0632904	0.0655496	0.0644200	0.0632904	0.0655496
BTER	2	0.0749800	0.0739190	0.0760410	0.0595200	0.0585351	0.0605049
BTER	3	0.0814800	0.0804884	0.0824716	0.0585800	0.0575011	0.0596589
BTER	4	0.0852400	0.0844009	0.0860791	0.0578400	0.0567380	0.0589420
BTER	5	0.0884800	0.0875864	0.0893736	0.0556800	0.0543601	0.0569999
BTER	6	0.0925400	0.0916538	0.0934262	0.0539200	0.0528445	0.0549955
BTER	7	0.0954000	0.0944444	0.0963556	0.0517600	0.0502209	0.0532991
BTER	8	0.0991400	0.0982561	0.1000239	0.0505000	0.0494709	0.0515291
BTER	9	0.1027400	0.1018907	0.1035893	0.0484600	0.0472663	0.0496537
BTER	10	0.1050400	0.1042507	0.1058293	0.0471600	0.0460169	0.0483031
BTER	11	0.1080000	0.1072760	0.1087240	0.0455600	0.0442862	0.0468338
BTER	12	0.1112600	0.1105526	0.1119674	0.0447200	0.0436066	0.0458334
BTER	13	0.1138200	0.1130922	0.1145478	0.0433000	0.0422709	0.0443291
BTER	14	0.1168400	0.1160416	0.1176384	0.0416800	0.0404520	0.0429080
BTER	15	0.1201800	0.1193606	0.1209994	0.0418800	0.0407423	0.0430177
BTER	16	0.1224200	0.1216305	0.1232095	0.0411400	0.0400476	0.0422324
BTER	17	0.1279600	0.1223329	0.1335871	0.0434200	0.0353072	0.0515328
BTER	18	0.1310000	0.1254499	0.1365501	0.0382400	0.0372184	0.0392616
BTER	19	0.1339200	0.1284444	0.1393956	0.0371600	0.0361935	0.0381265
BTER	20	0.1397600	0.1321975	0.1473225	0.0414000	0.0332467	0.0495533
