model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GraphRNN	1	0.4979200	0.4411368	0.5547032	0.4979200	0.4411368	0.5547032
GraphRNN	2	0.5660200	0.5427270	0.5893130	0.4637600	0.4140122	0.5135078
GraphRNN	3	0.3909000	0.3254337	0.4563663	0.4735800	0.4267191	0.5204409
GraphRNN	4	0.8213200	0.7618799	0.8807601	0.7155600	0.6627537	0.7683663
GraphRNN	5	0.4559600	0.3892266	0.5226934	0.6819800	0.6114163	0.7525437
GraphRNN	6	0.5739000	0.5124697	0.6353303	0.5179800	0.4539669	0.5819931
GraphRNN	7	0.4337600	0.3744401	0.4930799	0.4848400	0.4228833	0.5467967
GraphRNN	8	0.7142200	0.6861989	0.7422411	0.5440400	0.4794059	0.6086741
GraphRNN	9	0.4970200	0.4338788	0.5601612	0.4603000	0.3992708	0.5213292
GraphRNN	10	0.6344600	0.6121818	0.6567382	0.4077400	0.3519524	0.4635276
GraphRNN	11	0.5127400	0.4624189	0.5630611	0.4238400	0.3620886	0.4855914
GraphRNN	12	0.6206800	0.6052325	0.6361275	0.4052600	0.3446508	0.4658692
