model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Kronecker	1	0.4131071	0.4093919	0.4168224	0.4131071	0.4093919	0.4168224
Kronecker	2	0.5737143	0.5706413	0.5767872	0.4181071	0.4112179	0.4249963
Kronecker	3	0.7035357	0.7007929	0.7062786	0.4149643	0.4064287	0.4234999
Kronecker	4	0.7758571	0.7734886	0.7782257	0.4312500	0.4264304	0.4360696
Kronecker	5	0.7905714	0.7881708	0.7929720	0.3602857	0.3425302	0.3780412
Kronecker	6	0.7501071	0.7469723	0.7532420	0.5075357	0.5021966	0.5128749
Kronecker	7	0.7242143	0.7217228	0.7267058	0.3192500	0.3118984	0.3266016
Kronecker	8	0.7210000	0.7176064	0.7243936	0.2497500	0.2442221	0.2552779
Kronecker	9	0.7222143	0.7188415	0.7255870	0.2476786	0.2415321	0.2538251
Kronecker	10	0.7173571	0.7141211	0.7205931	0.2471786	0.2426651	0.2516920
Kronecker	11	0.7213929	0.7173946	0.7253911	0.2487143	0.2430048	0.2544238
Kronecker	12	0.7167143	0.7123173	0.7211112	0.2498571	0.2426678	0.2570465
Kronecker	13	0.7210357	0.7168949	0.7251765	0.2460714	0.2403512	0.2517917
Kronecker	14	0.7191071	0.7156739	0.7225404	0.2476071	0.2421823	0.2530320
Kronecker	15	0.7147143	0.7103275	0.7191011	0.2480714	0.2427927	0.2533502
Kronecker	16	0.7164286	0.7121594	0.7206977	0.2473571	0.2432100	0.2515043
Kronecker	17	0.7192500	0.7162676	0.7222324	0.2474643	0.2415201	0.2534085
Kronecker	18	0.7221786	0.7178195	0.7265376	0.2511071	0.2472019	0.2550124
Kronecker	19	0.7200714	0.7156303	0.7245126	0.2461071	0.2412453	0.2509690
Kronecker	20	0.7177143	0.7133542	0.7220744	0.2485000	0.2429072	0.2540928
