rule_id, collapses, edges_approx, total_cost, rule_details
9, 45, 0, 40782, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  952)  ('type_1'  'type_1')  ('type_1'  952)  (1478  886)  (1478  2921)  (952  1478)]
14, 59, 20, 39184, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)  (2921  1952)]
125, 18, 0, 38715, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1793)  ('type_1'  'type_1')  ('type_1'  1793)  (15  393)  (393  1695)  (1793  15)]
62, 14, 0, 38362, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1249)  ('type_1'  'type_1')  ('type_1'  1249)  (1249  1988)  (2479  1748)  (2479  1988)]
15, 10, 0, 38125, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1478)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)  (2921  1952)]
1056, 12, 0, 37830, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1309)  ('type_1'  'type_1')  ('type_1'  1309)  (20  212)  (20  1188)  (1188  1309)]
14, 4, 0, 37726, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)  (2921  1952)]
108, 11, 0, 37460, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2822)  ('type_1'  'type_1')  ('type_1'  2513)  (2513  833)  (2513  2797)  (2822  2513)]
4, 11, 0, 37194, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2348)  ('type_1'  'type_1')  ('type_1'  2097)  (1376  994)  (2348  1376)  (2097  2348)]
12, 83, 0, 35992, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
69, 10, 0, 35755, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1249)  ('type_1'  'type_1')  ('type_1'  2479)  (1249  1988)  (2479  1748)  (2479  1988)]
125, 3, 0, 35680, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1793)  ('type_1'  'type_1')  ('type_1'  1793)  (15  393)  (393  1695)  (1793  15)]
