rule_id, collapses, edges_approx, total_cost, rule_details
12, 361, 0, 21542, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1283)  ('type_1'  'type_1')  ('type_1'  641)  (641  1282)  (641  1283)  (1282  2564)  (1282  2565)  (1283  2566)]
135, 158, 0, 12621, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  150)  ('type_1'  'type_1')  ('type_1'  150)  (150  301)  (301  602)  (301  603)  (602  2408)  (603  2415)]
12, 27, 0, 11094, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1283)  ('type_1'  'type_1')  ('type_1'  641)  (641  1282)  (641  1283)  (1282  2564)  (1282  2565)  (1283  2566)]
135, 22, 0, 9852, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  150)  ('type_1'  'type_1')  ('type_1'  150)  (150  301)  (301  602)  (301  603)  (602  2408)  (603  2415)]
12, 10, 0, 9294, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1283)  ('type_1'  'type_1')  ('type_1'  641)  (641  1282)  (641  1283)  (1282  2564)  (1282  2565)  (1283  2566)]
135, 6, 0, 8964, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  150)  ('type_1'  'type_1')  ('type_1'  150)  (150  301)  (301  602)  (301  603)  (602  2408)  (603  2415)]
128, 12, 0, 8518, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1281)  ('type_1'  'type_1')  ('type_1'  320)  (320  640)  (320  641)  (640  1281)  (641  2567)]
16, 7, 0, 8368, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  641)  ('type_1'  'type_1')  ('type_1'  641)  (641  1282)  (1282  2564)  (1282  2565)]
8, 3, 0, 8334, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  824)  ('type_1'  'type_1')  ('type_1'  206)  (206  412)  (412  824)  (824  1648)]
2838, 1, 0, 8366, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_0'  11)  ('type_1'  'type_1')  (1  11)]
Basic edge list: 42010 bits
Final compression: 8366 bits (19.91430611759105 percent)
Best compression: 8334 bits (19.838133777671985 percent) occurred with 2998 of 3000 nodes compressed (99.93333333333334 percent)

real	2m47.511s
user	2m48.478s
sys	0m1.622s
