Percent of connections that are bidirected: 0.3944938440492476
rule_id, collapses, edges_approx, total_cost, rule_details
78, 3, 0, 229501, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  688)  ('type_1'  'type_1')  ('type_1'  97)  (683  97)  (688  97)  (1187  97)]
70, 8, 0, 229336, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  160)  ('type_1'  'type_1')  ('type_1'  160)  (160  655)  (160  1092)  (160  1165)]
50, 4, 0, 229321, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  394)  (63  394)  (324  394)]
65, 9, 0, 229236, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  35)  ('type_1'  'type_1')  ('type_1'  35)  (550  35)  (574  35)]
44, 31, 0, 229236, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  394)  (63  394)]
51, 33, 0, 229234, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  63)  (63  275)]
56, 83, 53, 229288, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  63)  (300  63)]
51, 6, 0, 229293, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  63)  (63  275)]
44, 3, 0, 229301, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  394)  (63  394)]
27, 6, 0, 229254, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  63)  (63  135)  (135  63)]
84, 4, 0, 229233, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  109)  ('type_1'  'type_1')  ('type_1'  72)  ('type_1'  109)  (109  72)]
176, 3, 0, 229261, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  454)  ('type_1'  'type_1')  (454  455)]
51, 14, 14, 229286, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  63)  (63  275)]
27, 2, 2, 229275, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  63)  (63  135)  (135  63)]
44, 9, 9, 229295, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  394)  (63  394)]
92, 2, 0, 229120, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  96)  ('type_0'  267)  ('type_1'  'type_1')  ('type_1'  96)  (267  96)]
233, 2, 0, 229125, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  497)  ('type_1'  'type_1')  (496  497)  (497  496)]
51, 7, 7, 229143, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  63)  (63  275)]
27, 8, 8, 229066, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  63)  (63  135)  (135  63)]
44, 6, 6, 229083, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  394)  (63  394)]
56, 1, 1, 229095, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  63)  (300  63)]
51, 4, 4, 229110, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  63)  (63  275)]
27, 4, 4, 229077, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  63)  ('type_1'  'type_1')  ('type_1'  63)  (63  135)  (135  63)]
