Percent of connections that are bidirected: 0.005466416966138584
rule_id, collapses, edges_approx, total_cost, rule_details
1, 555, 0, 749178, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  9459)  ('type_1'  'type_1')  ('type_1'  7701)  (9459  7701)  (9459  9460)]
4, 1506, 0, 723623, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4766)  ('type_1'  'type_1')  ('type_1'  4766)  (4766  4768)  (4766  4770)]
1, 65, 0, 722532, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  9459)  ('type_1'  'type_1')  ('type_1'  7701)  (9459  7701)  (9459  9460)]
4, 126, 62, 720590, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4766)  ('type_1'  'type_1')  ('type_1'  4766)  (4766  4768)  (4766  4770)]
1, 37, 0, 719975, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  9459)  ('type_1'  'type_1')  ('type_1'  7701)  (9459  7701)  (9459  9460)]
4, 228, 219, 716770, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4766)  ('type_1'  'type_1')  ('type_1'  4766)  (4766  4768)  (4766  4770)]
1, 4, 0, 716716, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  9459)  ('type_1'  'type_1')  ('type_1'  7701)  (9459  7701)  (9459  9460)]
10, 36, 0, 714981, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2581)  ('type_1'  'type_1')  ('type_1'  9673)  ('type_1'  2581)  ('type_1'  9703)  (2581  9673)  (2581  9703)]
9, 15, 0, 714533, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2581)  ('type_1'  'type_1')  ('type_1'  9673)  ('type_1'  2581)  (2581  9673)  (2581  9703)]
3, 15, 0, 714085, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4766)  ('type_1'  'type_1')  ('type_1'  4768)  ('type_1'  4769)  (4766  4768)  (4766  4769)]
1, 4, 0, 714031, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  9459)  ('type_1'  'type_1')  ('type_1'  7701)  (9459  7701)  (9459  9460)]
4, 167, 161, 711689, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4766)  ('type_1'  'type_1')  ('type_1'  4766)  (4766  4768)  (4766  4770)]
20, 11, 0, 711549, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2815)  ('type_1'  'type_1')  ('type_1'  2815)  (2812  1724)  (2812  2815)]
6, 7, 0, 711477, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  6993)  ('type_1'  'type_1')  ('type_1'  4772)  (4766  4772)  (6993  4772)]
10, 2, 0, 711397, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2581)  ('type_1'  'type_1')  ('type_1'  9673)  ('type_1'  2581)  ('type_1'  9703)  (2581  9673)  (2581  9703)]
0, 270, 0, 711164, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  9459)  ('type_1'  'type_1')  ('type_1'  7701)  (9459  7701)]
2, 1396, 942, 711689, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  3335)  ('type_1'  'type_1')  ('type_1'  3335)  (3335  4489)]
