Percent of connections that are bidirected: 0.005466416966138584
rule_id, collapses, edges_approx, total_cost, rule_details
1, 504, 0, 750045, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_1'  'type_1')  ('type_1'  2)  (1  2)  (1  3)]
10, 1445, 0, 725527, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_1'  'type_1')  ('type_1'  1)  (1  3)  (1  5)]
1, 80, 0, 724181, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_1'  'type_1')  ('type_1'  2)  (1  2)  (1  3)]
10, 126, 1, 722056, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_1'  'type_1')  ('type_1'  1)  (1  3)  (1  5)]
1, 28, 0, 721594, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_1'  'type_1')  ('type_1'  2)  (1  2)  (1  3)]
10, 127, 103, 719758, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_1'  'type_1')  ('type_1'  1)  (1  3)  (1  5)]
51, 28, 0, 718849, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4)  ('type_1'  'type_1')  ('type_1'  3992)  ('type_1'  4)  (4  3283)  (4  3992)]
49, 29, 0, 717443, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4)  ('type_1'  'type_1')  ('type_1'  3992)  ('type_1'  4)  ('type_1'  3998)  (4  3992)  (4  3998)]
1, 9, 0, 717304, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_1'  'type_1')  ('type_1'  2)  (1  2)  (1  3)]
10, 2, 0, 717284, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_1'  'type_1')  ('type_1'  1)  (1  3)  (1  5)]
182, 20, 0, 716991, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  7103)  ('type_1'  'type_1')  (7103  162)  (7103  7107)]
71, 17, 0, 716479, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  24)  ('type_1'  'type_1')  ('type_1'  26)  ('type_1'  60)  (24  26)  (24  60)]
49, 4, 0, 716305, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4)  ('type_1'  'type_1')  ('type_1'  3992)  ('type_1'  4)  ('type_1'  3998)  (4  3992)  (4  3998)]
51, 21, 17, 715638, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4)  ('type_1'  'type_1')  ('type_1'  3992)  ('type_1'  4)  (4  3283)  (4  3992)]
10, 353, 365, 710746, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_1'  'type_1')  ('type_1'  1)  (1  3)  (1  5)]
115, 9, 0, 710640, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  ('type_1'  61)  (6314  61)  (6314  4336)]
2, 9, 0, 710534, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4)  ('type_1'  'type_1')  ('type_1'  4)  (1  2)  (1  4)]
0, 198, 0, 710373, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_1'  'type_1')  ('type_1'  2)  (1  2)]
