Percent of connections that are bidirected: 0.005466416966138584
rule_id, collapses, edges_approx, total_cost, rule_details
9, 339, 0, 747436, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  8653)  ('type_1'  'type_1')  ('type_1'  8512)  (8653  8512)  (8653  8654)  (8653  8655)]
11, 689, 0, 724756, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4974)  ('type_1'  'type_1')  ('type_1'  4974)  (4974  9441)  (4974  9442)  (4974  9443)]
9, 56, 0, 722922, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  8653)  ('type_1'  'type_1')  ('type_1'  8512)  (8653  8512)  (8653  8654)  (8653  8655)]
11, 170, 111, 717659, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4974)  ('type_1'  'type_1')  ('type_1'  4974)  (4974  9441)  (4974  9442)  (4974  9443)]
9, 27, 3, 716791, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  8653)  ('type_1'  'type_1')  ('type_1'  8512)  (8653  8512)  (8653  8654)  (8653  8655)]
46, 12, 0, 716062, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  11177)  ('type_1'  'type_1')  ('type_1'  11177)  ('type_1'  11179)  ('type_1'  11183)  (11177  11178)  (11177  11179)  (11177  11183)]
1, 168, 0, 713253, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  11420)  ('type_1'  'type_1')  ('type_1'  11422)  (11420  11421)  (11420  11422)]
10, 437, 177, 706402, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4974)  ('type_1'  'type_1')  ('type_1'  4974)  (4974  9441)  (4974  9442)]
1, 26, 0, 705974, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  11420)  ('type_1'  'type_1')  ('type_1'  11422)  (11420  11421)  (11420  11422)]
53, 4, 0, 705749, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  11174)  ('type_1'  'type_1')  ('type_1'  2856)  ('type_1'  2854)  ('type_1'  2855)  (11174  2854)  (11174  2855)  (11174  2856)]
48, 9, 0, 705104, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  11177)  ('type_1'  'type_1')  ('type_1'  11184)  ('type_1'  11177)  ('type_1'  11179)  ('type_1'  11183)  (11177  11179)  (11177  11183)  (11177  11184)]
