Percent of connections that are bidirected: 0.9583598219961856
rule_id, collapses, edges_approx, total_cost, rule_details
26, 10, 0, 74154, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  409)  ('type_1'  'type_1')  ('type_1'  409)  (1456  371)  (409  1456)]
19, 9, 0, 74069, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  462)  ('type_1'  'type_1')  ('type_1'  462)  (462  782)  (462  1468)]
42, 8, 0, 73998, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  475)  ('type_1'  'type_1')  ('type_1'  516)  (411  475)  (516  411)]
15, 79, 0, 73950, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
16, 59, 0, 73922, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  134)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 3, 0, 73950, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
2, 5, 5, 73936, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  468)  (468  124)  (1042  124)]
38, 1, 1, 73954, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  9)  ('type_1'  'type_1')  ('type_1'  9)  (9  29)  (9  792)  (29  9)]
0, 1, 1, 73966, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
15, 2, 2, 73979, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 1, 1, 73991, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
15, 2, 2, 74004, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 2, 2, 74017, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
15, 2, 2, 74030, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 1, 1, 74042, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
15, 1, 1, 74054, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 2, 2, 74067, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
15, 3, 3, 74081, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 1, 1, 74093, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
15, 6, 6, 74110, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 1, 1, 74122, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
15, 8, 8, 74141, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 1, 1, 74153, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
15, 1, 1, 74165, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
16, 2, 1, 74176, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  134)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
15, 2, 2, 74189, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 2, 2, 74202, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
15, 1, 1, 74214, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 1, 1, 74226, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
15, 6, 6, 74243, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 1, 1, 74255, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
15, 4, 4, 74270, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (124  134)]
0, 3, 3, 74284, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1042  124)]
