Percent of connections that are bidirected: 0.9583598219961856
rule_id, collapses, edges_approx, total_cost, rule_details
5, 36, 0, 71804, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  252)  ('type_1'  'type_1')  ('type_1'  252)  (173  252)  (252  173)  (252  357)  (252  1504)  (252  1637)  (252  1696)  (357  252)  (1504  252)  (1637  252)  (1696  252)]
4, 20, 0, 70112, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  252)  ('type_1'  'type_1')  ('type_1'  252)  (173  252)  (252  173)  (252  997)  (252  1504)  (252  1696)  (997  252)  (1504  252)  (1696  252)]
6, 24, 0, 68939, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  269)  ('type_1'  'type_1')  ('type_1'  269)  (173  269)  (269  173)  (269  765)  (269  1656)  (1656  269)]
3, 20, 0, 67730, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  252)  ('type_1'  'type_1')  ('type_1'  252)  (173  252)  (252  173)  (252  520)  (252  1288)  (520  252)  (1288  252)]
13, 11, 0, 67088, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  269)  ('type_1'  'type_1')  ('type_1'  269)  (173  269)  (269  173)  (269  1177)  (1177  269)  (1177  513)  (513  1177)]
2, 39, 0, 65647, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  252)  ('type_1'  'type_1')  ('type_1'  252)  (173  252)  (252  173)  (252  1028)  (1028  252)]
13, 2, 0, 65532, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  269)  ('type_1'  'type_1')  ('type_1'  269)  (173  269)  (269  173)  (269  1177)  (1177  269)  (1177  513)  (513  1177)]
1, 31, 0, 64395, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  269)  ('type_1'  'type_1')  ('type_1'  269)  (173  252)  (173  269)  (252  173)  (269  173)]
39, 16, 0, 64212, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  20)  ('type_1'  'type_1')  ('type_1'  20)  (20  591)  (20  1677)]
11, 13, 0, 63915, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  269)  ('type_1'  'type_1')  ('type_1'  269)  (173  269)  (269  173)  (269  765)]
0, 128, 2, 62286, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  252)  ('type_1'  'type_1')  ('type_1'  252)  (173  252)  (252  173)]
18, 36, 0, 61849, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  (1199  1200)  (1200  1199)]
