Percent of connections that are bidirected: 0.9583598219961856
rule_id, collapses, edges_approx, total_cost, rule_details
6, 36, 0, 71804, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  18)  ('type_1'  'type_1')  ('type_1'  18)  (18  545)  (18  608)  (18  1243)  (18  1273)  (18  1361)  (545  18)  (608  18)  (1243  18)  (1273  18)  (1361  18)]
5, 21, 0, 70024, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  18)  ('type_1'  'type_1')  ('type_1'  18)  (18  542)  (18  1243)  (18  1273)  (18  1361)  (542  18)  (1243  18)  (1273  18)  (1361  18)]
41, 12, 0, 69180, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  35)  ('type_1'  'type_1')  ('type_1'  35)  (34  35)  (34  1019)  (35  34)  (35  705)  (35  1600)  (1019  34)  (705  35)]
3, 25, 0, 67656, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  18)  ('type_1'  'type_1')  ('type_1'  18)  (18  407)  (18  1273)  (18  1361)  (407  18)  (1273  18)  (1361  18)]
57, 12, 0, 67239, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  492)  ('type_1'  'type_1')  ('type_1'  492)  (492  987)  (492  1170)  (492  1601)  (1601  492)]
1, 52, 0, 65304, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  805)  ('type_1'  'type_1')  ('type_1'  805)  (805  1007)  (805  1280)  (1007  805)  (1280  805)]
11, 32, 0, 64129, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  150)  ('type_1'  'type_1')  ('type_1'  150)  (18  150)  (18  1273)  (150  18)  (1273  18)]
34, 14, 0, 63806, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  76)  ('type_1'  'type_1')  ('type_1'  76)  (76  733)  (76  1325)  (1325  76)]
0, 179, 15, 61540, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  805)  ('type_1'  'type_1')  ('type_1'  805)  (805  1280)  (1280  805)]
36, 56, 0, 61515, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  76)  ('type_1'  'type_1')  ('type_1'  76)  (76  733)]
11, 2, 1, 61453, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  150)  ('type_1'  'type_1')  ('type_1'  150)  (18  150)  (18  1273)  (150  18)  (1273  18)]
