rule_id, collapses, edges_approx, total_cost, rule_details
64, 115, 0, 80965, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
1, 318, 230, 81140, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1339)  ('type_1'  'type_1')  ('type_1'  1339)  (59  1339)]
124, 324, 231, 81311, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
64, 444, 410, 81699, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
0, 41, 0, 81691, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2753)  ('type_1'  'type_1')  ('type_1'  2533)  (2753  2533)]
1, 67, 53, 81742, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1339)  ('type_1'  'type_1')  ('type_1'  1339)  (59  1339)]
0, 74, 70, 81820, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2753)  ('type_1'  'type_1')  ('type_1'  2533)  (2753  2533)]
124, 3, 0, 81829, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
64, 70, 68, 81907, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
331, 7, 5, 81852, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2853)  ('type_1'  'type_1')  ('type_1'  2050)  ('type_1'  2853)  (2050  2853)]
1, 6, 6, 81870, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1339)  ('type_1'  'type_1')  ('type_1'  1339)  (59  1339)]
64, 10, 10, 81892, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
124, 2, 1, 81904, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
64, 20, 20, 81936, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
124, 10, 10, 81958, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
1, 9, 9, 81979, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1339)  ('type_1'  'type_1')  ('type_1'  1339)  (59  1339)]
64, 7, 7, 81998, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
0, 5, 5, 82015, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2753)  ('type_1'  'type_1')  ('type_1'  2533)  (2753  2533)]
64, 6, 5, 82031, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
124, 2, 2, 82045, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
1, 2, 2, 82059, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1339)  ('type_1'  'type_1')  ('type_1'  1339)  (59  1339)]
124, 2, 2, 82073, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
64, 25, 31, 82122, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
0, 1, 0, 82133, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2753)  ('type_1'  'type_1')  ('type_1'  2533)  (2753  2533)]
1, 1, 1, 82146, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1339)  ('type_1'  'type_1')  ('type_1'  1339)  (59  1339)]
124, 11, 11, 82169, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
0, 6, 6, 82187, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2753)  ('type_1'  'type_1')  ('type_1'  2533)  (2753  2533)]
1, 3, 3, 82202, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1339)  ('type_1'  'type_1')  ('type_1'  1339)  (59  1339)]
64, 7, 7, 82221, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
124, 3, 3, 82236, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
64, 3, 3, 82251, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
4, 4, 8, 82258, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2419)  ('type_1'  'type_1')  ('type_1'  1339)  (59  1339)  (2419  59)]
2013, 1, 1, 82279, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  32)  ('type_1'  'type_1')  ('type_1'  32)  (32  1706)  (1706  32)]
124, 2, 1, 82291, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
2013, 2, 2, 82279, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  32)  ('type_1'  'type_1')  ('type_1'  32)  (32  1706)  (1706  32)]
