# Directed graph: kronecker_graph.txt 
# Kronecker Graph: seed matrix [0.9 0.6; 0.6 0.1]
# Nodes: 1024 Edges: 2655
# FromNodeId	ToNodeId
0	5
0	8
0	32
0	72
0	76
0	80
0	130
0	132
0	139
0	140
0	153
0	174
0	194
0	203
0	212
0	218
0	260
0	263
0	269
0	273
0	280
0	323
0	336
0	341
0	387
0	405
0	418
0	429
0	454
0	513
0	544
0	549
0	583
0	593
0	624
0	641
0	678
0	726
0	777
0	785
0	837
0	841
0	852
0	861
0	865
0	898
0	929
1	8
1	16
1	24
1	136
1	144
1	242
1	256
1	304
1	310
1	348
1	388
1	390
1	469
1	516
1	528
1	624
1	632
1	644
1	807
1	848
1	849
2	0
2	6
2	8
2	33
2	35
2	76
2	88
2	129
2	132
2	200
2	210
2	272
2	328
2	353
2	420
2	476
2	520
2	565
2	592
2	596
2	601
2	632
2	704
2	769
2	866
2	887
3	208
3	312
3	349
3	360
3	436
3	660
3	708
3	718
3	732
3	760
3	820
4	19
4	32
4	98
4	99
4	105
4	153
4	161
4	191
4	193
4	210
4	224
4	242
4	278
4	282
4	289
4	299
4	301
4	395
4	402
4	514
4	523
4	537
4	553
4	562
4	640
4	645
4	682
4	706
4	738
4	825
4	898
5	132
5	144
5	192
5	256
5	312
5	345
5	360
5	464
5	594
5	690
5	746
5	753
5	779
5	801
5	920
5	984
5	1018
6	96
6	105
6	107
6	272
6	273
6	377
6	400
6	457
6	532
6	578
6	785
6	820
6	920
7	0
7	428
7	562
7	563
7	840
7	1016
8	4
8	6
8	14
8	15
8	26
8	32
8	37
8	48
8	64
8	66
8	116
8	141
8	150
8	161
8	170
8	192
8	308
8	374
8	453
8	482
8	486
8	498
8	550
8	581
8	785
8	787
8	816
8	834
8	869
9	21
9	312
9	400
9	402
9	512
9	544
9	576
9	594
9	614
9	646
9	704
9	717
9	806
9	866
9	930
10	164
10	212
10	369
10	521
10	544
10	644
10	768
10	785
10	899
11	34
11	100
11	304
11	372
11	756
11	870
12	18
12	19
12	32
12	179
12	595
12	672
12	673
12	745
12	769
12	840
13	64
13	69
13	474
13	578
13	580
14	32
14	385
14	589
14	680
14	953
15	33
15	40
15	144
15	641
16	4
16	38
16	44
16	60
16	68
16	70
16	72
16	149
16	160
16	175
16	197
16	260
16	266
